manifest_id	entry	source_key	original_status	search_terms_used	forms_found	page_or_section_found	action_taken	new_status	file_changed	notes
CLMM01-0038	give / ġiefan	ClarkHall1960	headword_not_found	giefan; geaf; giefen	headword + nearby forms	134	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2041-give-ġiefan.book.md	Clark Hall headword recovered with nearby form evidence.
CLMM01-0052	hedge / heġġ	ClarkHall1960	headword_not_found	hecg; heċġ; hecga	compound only		left_unresolved	headword_not_found	none	Only compounds such as hecga-spind surfaced; no safe simplex headword line recovered.
CLMM01-0054	hedge / heġġ	ClarkHall1960	headword_not_found	hecg; heċġ; hecga	compound only		left_unresolved	headword_not_found	none	The normalized heġġ claim still lacks a safe Clark Hall simplex headword line.
CLMM01-0119	town / tūn	ClarkHall1960	headword_not_found	tūn; town; enclosure	headword	356	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2263-town-tūn.book.md	Clark Hall tūn entry recovered with printed page header.
CLMM01-0140	wind / windan	ClarkHall1960	headword_not_found	windan; wind	headword	page found but printed number unsafe	reclassified	page_markers_unreliable	manifest only	Clark Hall windan was found but the page header did not expose a safe printed page number.
CLMM01-0142	wind / windan	ClarkHall1960	headword_not_found	windan; wind	headword	page found but printed number unsafe	reclassified	page_markers_unreliable	manifest only	Same Clark Hall windan problem as the companion row.
CLMM01-0144	wold / weald	ClarkHall1960	headword_not_found	weald; wald; wold	headword + cross-reference	page found but printed number unsafe	reclassified	page_markers_unreliable	manifest only	Clark Hall weald/wald/wold evidence was found, but the page anchor is unsafe.
CLMM01-0145	wold / weald	ClarkHall1960	headword_not_found	weald; wald; wold	headword + cross-reference	page found but printed number unsafe	reclassified	page_markers_unreliable	manifest only	Variant-note row reclassified with the same Clark Hall page-anchor problem.
CLMM01-0152	brand / brandes	ClarkHall1960	headword_not_found	brand; brandes	headword	page found but printed number unsafe	reclassified	page_markers_unreliable	manifest only	Clark Hall brand was found, but the printed page number was not safely visible.
CLMM01-0161	fast / festan	ClarkHall1960	headword_not_found	festan; fast; fastian	none		left_unresolved	headword_not_found	none	Layered Clark Hall search did not recover a safe festan entry.
CLMM01-0175	knight / cniht	ClarkHall1960	headword_not_found	cniht; knight	headword	63	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2086-knight-cniht.model.md	Clark Hall cniht headword recovered with printed page header.
CLMM01-0203	lung / lungen	ClarkHall1960	headword_not_found	lungen; lungenādl; lungensealf	family material only	page found but printed number unsafe	reclassified	page_markers_unreliable	manifest only	Clark Hall lung-family material was found, but not with a safe printed page anchor.
CLMM01-0250	swan / swanes	ClarkHall1960	headword_not_found	swan; swanes	none		left_unresolved	headword_not_found	none	The sampled Clark Hall hits were compounds or other bird terms, not a safe swan headword.
CLMM01-0272	withy / wīþiġ	ClarkHall1960	headword_not_found	widig; wiðig; wide=widig	cross-reference only	357	reclassified	claim_not_isolated	manifest only	Clark Hall surfaces widig by cross-reference, but not enough for the full current sentence.
CLMM01-0287	ban / bannes	ClarkHall1960	headword_not_found	ban; bannes	none		left_unresolved	headword_not_found	none	Layered Clark Hall search did not recover a safe ban/bannes headword line.
CLMM01-0302	fright / fyrhte	ClarkHall1960	headword_not_found	fyrht; fyrhtan; fyrhte	related form only		left_unresolved	headword_not_found	none	Only related fear/fright forms surfaced; the current sentence still lacks a clean locator-safe Clark Hall basis.
CLMM01-0319	heaven / heofon	ClarkHall1960	headword_not_found	heofon; hefen; heaven	headword	188	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Clark Hall heofon headword recovered with printed page header.
CLMM01-0326	live / lifeþ	ClarkHall1960	headword_not_found	libban; lifian; lifeþ	cross-reference only		left_unresolved	headword_not_found	none	Clark Hall cross-references libban/lifian material, but not enough for the current finite-form sentence.
CLMM01-0346	meed / meorde	ClarkHall1960	headword_not_found	meord; mēd	headword mention but unsafe		left_unresolved	headword_not_found	none	Clark Hall surfaced meord, but not a safe locator for the specific mēd/meord sentence.
CLMM01-0379	make (3sg) / macaþ	ClarkHall1960	headword_not_found	macian; maca	headword	193	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2310-make-(3sg)-macaþ.model.md	Clark Hall macian recovered with printed page header.
