row_id	lexical_item	counterpart	proto	protoform	derivation_class	proposed_protoform_stage	protoform_variety	decision_type	confidence	model_entry_path	evidence
1936	ban	bannes	*bánną	*bánnas	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	Gen.sg. paradigm cell: *bannas → bannes. Word-final geminates are phonologically simplified; using gen.sg. preserves medial geminate. Note: a-stem neuter, gen.s
1946	berry	berġes	*bázją	*bázjas	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	Note: using gen.sg. *bazjas (> berġes); R/T vol.2 §6.8.2: *rj did not geminate in PWGmc
1959	bottom	botm	*búdmaz	*búttmaz	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	Kroonen p.82: OE < *buttma- (oblique stem variant via PIE dissimilation)
1962	bow	bēag	*béuganą	*báug	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	1/3 sg pret. of *būgan 'to bow, bend' (class II strong). Retargeted from 3pl pret. *búgun → bugon (analogical-overlay) per DEV_NOTES §17.51.A1.4 and dossiers/bu
1965	brand	brandes	*brándaz	*brándas	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
1968	breast	brēost	*brústz	*bréustą	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1968-breast-brēost.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
1980	cow	cȳ	*kōz	*kūi	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1980-cow-cȳ.model.md	Root noun *kō- ~ *kū- (Kroonen): nom. *kōz, obl. *kū-. OE leveled zero-grade *kū- to all cases; dat.sg. cȳ < *kūi is lautgesetzlich.
1981	craft	cræft	*kráftiz	*kráftaz	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1981-craft-cræft.model.md	Kroonen: *kraftu- m. 'strength' (u-stem); Orel: *kraftiz ~ *kraftuz. OE cræft has æ (not e), ruling out i-stem *-iz which would trigger i-umlaut. Using a-stem *
1983	cud	cwedu	*kwíθuz	*kwéðuz	attested_variant	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1983-cud-cwedu.model.md	Kroonen (2013:313) *kweduz m. u-stem 'resin' (Leiden orthography: *d* = [ð] intervocalically); Orel (2003) *kweðuz explicit; R/T (2014:323) PWGmc *kwidu presupp
1990	dill	dile	*déljaz	*déliz	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/1990-dill-dile.model.md	I-stem *deliz per Kroonen p.93: "evidence for both an i-stem (OE dile) and a ja-stem (OS dilli, OHG tilli)". OE generalized i-stem; OS/OHG generalized ja-stem.
1998	drive	drīfan	*drī́baną	*drḯbaną	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2004	fast	festan	*fastēną	*fástijaną	early_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2004-fast-festan.model.md	R/T: "festan 'to fix, to fasten' < *fæstjan" (Class I weak); "acquired stative meaning ['to fast'] by lexical confusion" with *fastēn-. OE fæstan has æ from ana
2011	find	fundene	*fínθaną	*fúnðanǭ	late_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.model.md	Paradigm-cell acc.sg.m. of strong past ptc, attested (Bosworth-Toller s.v. findan: "Beón i hergeata ww fundene, 414, 4 note"; cf. Hall s.v. tō-fundennes). Regul
2016	flask	flasce	*flaskō	*fláskōn	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2016-flask-flasce.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
2027	follow	fylġan	*fulgēną	*fúlgijaną	early_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2027-follow-fylġan.model.md	Kroonen s.v. *fulgēn-: "OE fylg(e)an continue *fulgjan-"; R/T §2.3.1: "class I weak OE fylgan". WS folgian is Class II from *fulgēn-.
2034	fright	fyrhte	*furxtīn	*fúrxtīnaz	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2034-fright-fyrhte.model.md	§17.45.3c: target retargeted to obl.sg./pl. paradigm cell fyrhte (BT: Guth. 88,18; 92,1; Bl.H. 57,20; Hml.S.; Ll.Th. 378,22; etc.). Bare-stem nom.sg. *fyrht is
2037	gall	ġealla	*gállą	*gállô	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
2047	gripe	grīpan	*grī́paną	*grḯpaną	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2053	hammer	hameres	*xámaraz	*xámaras	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md	Note: using gen.sg. *xamaras (> hameres). Both hamor and hamer attested; hameres is the regular reflex via a-fronting (R/T §5.1.2, §6.9.6). hamores has unexplai
