global_order	class_order	row_id	lexical_item	counterpart	proto	protoform	derivation_class	class_bucket	section_title	model_entry_path	trace_match_status	trace_match_basis	notes	pilot_reason	pilot_features
2	2	1934	bake	bacan	*bákaną	*bákaną	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		ordinary weak verb with straightforward regular prose	simple verb; baseline regular commentary
3	3	1942	beech	bōc	*bōkō	*bōkō	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		very simple regular noun with compact explanatory prose	simple noun; minimal-style candidate
5	5	1949	bier	bǣr	*bḗrō	*bḗrō	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		simple noun with a short Source note	simple noun; source-note retention case
8	8	1958	both	bū	*bō	*bō	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		monosyllabic numeral with a manual comparison table and paradigm complexity	manual comparison table; paradigm complexity
9	9	1961	bow	bīeġan	*báugijaną	*báugijaną	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		ordinary weak verb with a compact but nontrivial developmental chain	ordinary verb; fuller regular narrative
15	15	2003	fare	faran	*fáraną	*fáraną	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2003-fare-faran.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		ordinary strong verb with simple evidence and development prose	ordinary verb; baseline compression target
25	25	2049	guest	ġiest	*gástiz	*gástiz	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2049-guest-ġiest.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		regular noun with an explicit Dialect note	dialect-note retention case
35	35	2095	learn	liornian	*líznōjaną	*líznōjaną	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2095-learn-liornian.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		regular verb with dialect framing and a manual comparison table	manual comparison table; dialect complexity
38	38	2104	linden	lind	*líndō	*líndō	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2104-linden-lind.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		very simple regular noun with a brief Form note	simple noun; form-note retention case
40	40	2129	mother	mōder	*mōdēr	*mōdēr	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2129-mother-mōder.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		regular kinship noun whose final section is a short comparison note rather than a table	comparison prose without table
46	46	2186	show	sċēawian	*skáwōjaną	*skáwōjaną	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2186-show-sċēawian.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		ordinary regular verb with an orthographic Form note	verb; form-note retention case
66	66	2278	weapon	wǣpn	*wḗpną	*wḗpną	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2278-weapon-wǣpn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS		regular noun with unbroken/broken-form commentary in a Form note	noun; form-note retention case
