# sc_registry.tsv — CANONICAL SC REGISTRY (SOURCE — hand-edited).
# One row per SC identifier ever used, including retired identifiers.
# This file is the single editable owner of SC identity, lifecycle, executable
# identifier (fst_identifier), display names, historical stage/scope, confidence,
# adjudication status/verdict/memo, and chronology-node facts.
# This file contains NO derived or order-valued columns: executable positions
# come only from the executable model (Germanic/tools/oe_pipeline.py, parsed
# from the production composition in Germanic/fsts/germanic.txt); legacy
# inventory/staging order spaces are frozen in registry/archival_orders.tsv.
# Book chapter membership is editorial and lives in registry/reader_chapters.tsv
# and registry/reader_files.tsv; book presentation order is the GENERATED
# registry/reader_manifest.tsv (min cascade position per reader file).
# Derived views are produced by Germanic/tools/generate_registry_views.py.
sc_id	lifecycle_status	entry_type	pipeline_stage	canonical_change_id	duplicate_group	staging_row	fst_identifier	display_name	inventory_display_name	stage_label	historical_stage_label	hist_stage	hist_scope	confidence	source_reader_facing_file	include_in_volume	is_reader_facing	adjudication_status	verdict	adjudication_memo	chronology_profile	chronology_card	chronology_has_reciprocal_boundary	chronology_summary	action_status	capr_evidence	chronology_problem	staging_notes
SC001	active	support_stage	Proto-Germanic consonant inheritance	SC001		no	EnglishProtoInput	Proto Input		Proto-Germanic consonant inheritance	Technical					no	no	unadjudicated										
SC002	active	historical_sound_change	Proto-Germanic consonant inheritance	SC002		no	PGmcGmSimplification	Gm Simplification		Proto-Germanic consonant inheritance	Proto-Germanic					yes	yes	unadjudicated										
SC003	active	historical_sound_change	West Germanic	SC003		yes	EAFRhotacism	West Germanic rhotacism		West Germanic	West Germanic	eaf	pan_wgmc	A	003-west-germanic-rhotacism.md	yes	yes	unadjudicated							rename_completed	003-pgmc-rhotacism.dossier.md; 003-pgmc-rhotacism.book-dossier.md	Renamed PGmcRhotacism -> EAFRhotacism (EAF stage; behaviour-neutral); reader-facing 'West Germanic rhotacism' (pan_wgmc scope) per Ringe-Taylor, Crist, Hogg	Former identifier PGmcRhotacism; internal name now EAF-stage
SC004	active	historical_sound_change	Early Anglo-Frisian	SC004		yes	EAFAiMonophthongization	EAF Ai Monophthongization		Early Anglo-Frisian	Early Anglo-Frisian	eaf	north_sea_germanic	B	004-pwgmc-ai-monophthongization.md	yes	yes	unadjudicated							split_implemented	004-pwgmc-ai-monophthongization.dossier.md; 004-pwgmc-ai-monophthongization.book-dossier.md	Stressed/root *ái → *ā, North Sea Germanic areal development (Versloot 2017: two-wave diffusion, AD 400-900); executes in the EAF corridor after SC028 PNWGmcPreconsonantalXLoss; carries the SC036 soul boundary (*sáiwalō>sāwol, first-break confirmed)	Split out of the former bundled SC004; stressed/root *ái→*ā only (unstressed *ai→*ē is now SC014). Diagnostic stressed witnesses include loam *láimą (stressed by its PROTOFORM). EAF is an operational modelling corridor for a North Sea Germanic areal change, not a demonstrated discrete Proto-Anglo-Frisian node. Former PWGmc identifier PWGmcAiMonophthongization retained as a documented alias. Its executable placement diverges from its SC number.
SC005	active	historical_sound_change	Proto-West Germanic developments	SC005		yes	PNWGmcAToUBeforeM	Proto-Northwest Germanic A To U Before M	NWGmc A To U Before M	Proto-West Germanic developments	Northwest Germanic	pnwgmc	pan_pnwgmc	A	005-unstressed-a-raising-before-final-m.md	yes	yes	unadjudicated							rename_completed	005-nwgmc-a-to-u-before-m.dossier.md; 005-nwgmc-a-to-u-before-m.book-dossier.md	none	Straightforward NWGmc vocalic change; well-placed in Ch2
SC006	active	historical_sound_change	Proto-West Germanic developments	SC006		yes	PWGmcEarlyIApocope	PWGmc Early I Apocope		Proto-West Germanic developments	Proto-West Germanic	pwgmc	pan_wgmc	A	006-early-i-apocope.md	yes	yes	unadjudicated							no_known_problem	006-pwgmc-early-i-apocope.dossier.md; 006-pwgmc-early-i-apocope.book-dossier.md	none	PWGmc apocope of short i; no staging issue
SC007	active	historical_sound_change	Proto-West Germanic developments	SC007		yes	PWGmcFinalOrLowering	PWGmc Final Or Lowering		Proto-West Germanic developments	Proto-West Germanic	pwgmc	pan_wgmc	A	007-final-o-lowering-before-r.md	yes	yes	unadjudicated							no_known_problem	007-pwgmc-final-or-lowering.dossier.md; 007-pwgmc-final-or-lowering.book-dossier.md	none	PWGmc conditioned vowel lowering; no staging issue
SC008	active	historical_sound_change	Proto-West Germanic developments	SC008		yes	PWGmcCoronalWAssimilation	PWGmc Coronal W Assimilation		Proto-West Germanic developments	Proto-West Germanic	pwgmc	pan_wgmc	A	008-coronal-w-assimilation.md	yes	yes	unadjudicated							no_known_problem	008-pwgmc-coronal-w-assimilation.dossier.md; 008-pwgmc-coronal-w-assimilation.book-dossier.md	none	PWGmc consonant assimilation; no staging issue
SC009	active	historical_sound_change	Proto-West Germanic developments	SC009		yes	PWGmcIjContraction	PWGmc Ij Contraction		Proto-West Germanic developments	Proto-West Germanic	pwgmc	pan_wgmc	A	009-ij-contraction-in-friend.md	yes	yes	unadjudicated							no_known_problem	009-pwgmc-ij-contraction.dossier.md; 009-pwgmc-ij-contraction.book-dossier.md	none	PWGmc vowel contraction; no staging issue
SC010	active	historical_sound_change	Proto-West Germanic developments	SC010		yes	PWGmcJGemination	PWGmc J Gemination		Proto-West Germanic developments	Proto-West Germanic	pwgmc	pan_wgmc	A	010-west-germanic-j-gemination.md	yes	yes	unadjudicated							no_known_problem	010-pwgmc-j-gemination.dossier.md; 010-pwgmc-j-gemination.book-dossier.md	none	Pan-WGmc consonant gemination before j; no staging issue
SC011	active	historical_sound_change	Proto-West Germanic developments	SC011		yes	PWGmcSyllabicJ	PWGmc Syllabic J		Proto-West Germanic developments	Proto-West Germanic	pwgmc	pan_wgmc	A	011-syllabic-j-after-final-vowel-loss.md	yes	yes	unadjudicated							no_known_problem	011-pwgmc-syllabic-j.dossier.md; 011-pwgmc-syllabic-j.book-dossier.md	none	PWGmc consonantal j becomes syllabic; no staging issue
SC012	active	historical_sound_change	Northern West Germanic	SC012		yes	EAFLThVoicing	Northern West Germanic *lþ*-voicing		Northern West Germanic	Northern West Germanic	eaf	north_wgmc	B	012-lth-voicing.md	yes	yes	unadjudicated							rename_completed	012-pwgmc-l-th-voicing.dossier.md; 012-pwgmc-l-th-voicing.book-dossier.md	none	Renamed PWGmcLThVoicing -> EAFLThVoicing (EAF stage; behaviour-neutral). Scope corrected pan_wgmc -> north_wgmc and confidence A -> B: comparative evidence supports lþ>ld most clearly in northern West Germanic, not an unqualified pan-PWGmc development (R/T pp.170-171; Campbell §414). Reader placement corrected Ch2 -> Ch3: Ch2 covers PNWGmc->PWGmc, but SC012 is a post-PWGmc northern-WGmc development and belongs with the other EAF-stage northern changes (SC003/SC020/SC004) in Ch3. Display stage = Northern West Germanic (hist_stage eaf = CAPR post-PWGmc corridor; scope north_wgmc).
SC013	active	historical_sound_change	Proto-West Germanic developments	SC013		yes	PWGmcDentalHardening	PWGmc Dental Hardening		Proto-West Germanic developments	Proto-West Germanic	pwgmc	pan_wgmc	A	013-dental-hardening.md	yes	yes	unadjudicated							no_known_problem	013-pwgmc-dental-hardening.dossier.md; 013-pwgmc-dental-hardening.book-dossier.md	none	PWGmc dental consonant hardening; no staging issue
SC014	active	historical_sound_change	Northwest Germanic developments	SC014		yes	PNWGmcUnstressedAiMonophthongization	Proto-Northwest Germanic Unstressed Ai Monophthongization	NWGmc Unstressed Ai Monophthongization	Northwest Germanic developments	Northwest Germanic	pnwgmc	pan_pnwgmc	A	014-015-opening-vowel-prelude.md	yes	yes	unadjudicated			negative_boundary	Germanic/docs/sound_changes/order_tests/chronology_cards/SC014-nwgmc-unstressed-ai-monophthongization.md	no	No ordinary chronology first break was found in either direction: earlier search is runner-limited by bundled PWGmcChanges and later search reached SC087 with no real break.	split_implemented	014-015-opening-vowel-prelude.dossier.md; 014-015-opening-vowel-prelude.book-dossier.md	Later boundary at unstressed-long-vowel shortening (span *spánnē must be shortened to spanne); earlier side bounded at the cascade head	Unstressed *ai→*ē in final AND nonfinal environments (Ringe-Taylor's rule, not merely word-final); split out of the former bundled SC004 and now executes at the head of EarlyEnglishLineChanges (former SC004 slot). Shared NWGmc scope. Diagnostic witnesses by PROTOFORM: span (*spánnai dat.sg → spanne) and meed (*mízdai → meorde). Evidence from inflectional endings and comparative scholarship (R/T pp.37-41, §6.1.5). Former no-op {*ăi}->{*ē} card superseded.
SC015	active	historical_sound_change	Northwest Germanic developments	SC015		yes	PNWGmcILowering	Proto-Northwest Germanic I Lowering	NWGmc I Lowering	Northwest Germanic developments	Northwest Germanic	pnwgmc	pan_pnwgmc	A	014-015-opening-vowel-prelude.md	yes	yes	unadjudicated			broad_far	Germanic/docs/sound_changes/order_tests/chronology_cards/SC015-nwgmc-i-lowering.md	no	No earlier ordinary chronology break was found before bundled PWGmcChanges; later side is a one-sided chronology boundary across SC036 and is broad/far rather than local.	rename_completed	014-015-opening-vowel-prelude.dossier.md; 014-015-opening-vowel-prelude.book-dossier.md	none	NWGmc unstressed AI monophthongization and I-lowering; both SCs share same historical stage
SC016	active	orthography_surface	Orthography & surface	SC016		yes	OEWsPalatalGlide	OE Ws Palatal Glide		Orthography & surface	Old English	oe_ws	west_saxon	A	016-west-saxon-palatal-glide.md	yes	yes	adjudicated	REFORMULATE/REORDER	Germanic/docs/sound_changes/audits/sc016-017-adjudication.md	reciprocal_or_near_reciprocal	Germanic/docs/sound_changes/order_tests/chronology_cards/SC016-oe-ws-palatal-glide.md	yes	No earlier ordinary chronology break was found before bundled PWGmcChanges; later boundary reciprocates SC017 earlier around yoke.	chronology_repair_completed	sc016-017-adjudication.md; 016-017-palatal-glide-u-lowering.pair-report.md	RESOLVED (sc016-017-adjudication.md): rule moved to its historical OE/WS position after OldEnglishOrthography and reformulated as glide spelling of back vowels after word-initial g (R/T p.5; Hogg CHEL I p.112; Brunner §92.1; Bülbring §§298-299); SC017 now feeds SC016 (geoc)	Executable position now matches historical stage; former inverted SC016<SC017 ordering eliminated
SC017	active	historical_sound_change	Northwest Germanic developments	SC017		yes	PNWGmcULowering	Proto-Northwest Germanic U Lowering	NWGmc U Lowering	Northwest Germanic developments	Northwest Germanic	pnwgmc	pan_pnwgmc	A	017-nwgmc-u-lowering.md	yes	yes	adjudicated	RETAIN	Germanic/docs/sound_changes/audits/sc016-017-adjudication.md	reciprocal_or_near_reciprocal	Germanic/docs/sound_changes/order_tests/chronology_cards/SC017-nwgmc-u-lowering.md	yes	Earlier boundary reciprocates SC016 later around yoke; later boundary reciprocates SC019 earlier around nose, shovel, and sorrow, with `rust` / `wool` only as changed-output context.	rename_completed	016-017-palatal-glide-u-lowering.pair-report.md; 016-020-early-vocalic-final-corridor.book-dossier.md	none	Now in standalone 017-nwgmc-u-lowering.md; split from 016-017
SC018	active	historical_sound_change	Northwest Germanic developments	SC018		yes	PNWGmcStressedMonosyllableORaising	Proto-Northwest Germanic Stressed Monosyllable O Raising	NWGmc Stressed Monosyllable O Raising	Northwest Germanic developments	Northwest Germanic	pnwgmc	pan_pnwgmc	B	018-stressed-monosyllable-o-raising.md	yes	yes	unadjudicated			negative_boundary	Germanic/docs/sound_changes/order_tests/chronology_cards/SC018-nwgmc-stressed-monosyllable-o-raising.md	no	No ordinary chronology first break was found in either direction: earlier search is runner-limited by bundled PWGmcChanges and later search reached SC087 with no real break.	rename_completed	018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	Existing dossier: boundary-limited both sides; no positive local chronology established yet; stage is NWGmc but thin evidential basis	Part of SC018-SC025 boundary-limited zone per book dossier
SC019	active	historical_sound_change	Northwest Germanic developments	SC019		yes	PNWGmcFinalLongORaising	Proto-Northwest Germanic Final Long O Raising	NWGmc Final Long O Raising	Northwest Germanic developments	Northwest Germanic	pnwgmc	pan_pnwgmc	A	019-nwgmc-final-long-o-raising.md	yes	yes	unadjudicated			reciprocal_or_near_reciprocal	Germanic/docs/sound_changes/order_tests/chronology_cards/SC019-nwgmc-final-long-o-raising.md	yes	Earlier boundary reciprocates SC017 later around nose, shovel, and sorrow; later boundary reciprocates the already interpreted SC020 earlier rest relation.	rename_completed	019-nwgmc-final-long-o-raising.dossier.md; 020-pgmc-final-z-deletion.dossier.md; 016-020-early-vocalic-final-corridor.book-dossier.md	none	Now in standalone 019-nwgmc-final-long-o-raising.md; split from 019-020
SC020	active	historical_sound_change	West Germanic	SC020		yes	EAFFinalZDeletion	West Germanic final *z*-deletion		West Germanic	Proto-West Germanic	pwgmc	pan_wgmc	B	020-wgmc-final-z-deletion.md	yes	yes	adjudicated	SPLIT	Germanic/docs/sound_changes/audits/sc020-three-rule-adjudication.md	mixed	Germanic/docs/sound_changes/order_tests/chronology_cards/SC020-pgmc-final-z-deletion.md	yes	Earlier boundary is an ordinary chronology boundary and local across SC019 and reciprocates SC019 later around rest; later boundary is also an ordinary chronology boundary but broad/far across SC040.	split_implemented	019-nwgmc-final-long-o-raising.dossier.md; 020-pgmc-final-z-deletion.dossier.md; 016-020-early-vocalic-final-corridor.book-dossier.md	resolved_by_three_rule_split	Three-rule split 2026 (adjudication memo sc020-three-rule-adjudication.md): SC020 narrowed to the PWGmc loss of word-final *z in unstressed syllables (R/T 2014 pp.44-45, 212); root-noun nominatives -> SC096, later northern stressed-monosyllable loss -> SC097. hist_stage corrected eaf -> pwgmc and scope pan_wgmc confirmed (no longer provisional) per Dossier B. Identifier EAFFinalZDeletion retained pending global rename (EAF prefix historically stale; recorded here, not fixed by rename). Corpus firing population: see the generated cascade_baseline/rule_coverage_census.tsv (witnesses incl. friend/milk/month).
SC021	retired	historical_sound_change				no	PNWGmcUnstressedORaising	Retired NWGmc Unstressed O Raising										adjudicated	RETIRE	Germanic/docs/sound_changes/audits/sc021-adjudication.md	retired	Germanic/docs/sound_changes/order_tests/chronology_cards/SC021-nwgmc-unstressed-o-raising.md	no	Retired after source-led adjudication; the former SC040 break was tied to the retired heaven proxy and is not a current chronology node.				Retired after source-led adjudication; former identifier has no live FST definition. Successors: SC071 OELateOShortening plus SC099/SC100 medial-u/final-a split; SC040 moved later. Do not reactivate SC021 or reuse its identifier.
SC022	active	historical_sound_change	SC018-SC025 editorial holding zone	SC022		yes	PNWGmcMnDissimilation	Common Germanic Mn Dissimilation		Common Germanic	Proto-Germanic	pgmc	pan_germanic	B	022-mn-dissimilation.md	yes	yes	adjudicated	REFORMULATE/RETAIN	Germanic/docs/dossier-sc022-mn-dissimilation-2026.md	negative_boundary	Germanic/docs/sound_changes/order_tests/chronology_cards/SC022-nwgmc-mn-dissimilation.md	no	No ordinary chronology first break was found in either direction; executable position is a holding-zone placement, while historical classification is late Proto-Germanic/Common Germanic.	metadata_corrected	018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	Fulk 2018 p.121 §6.11 and Polomé 1967 pp.818-819 support a late PGmc/Common-Germanic cluster change; first-break testing remains boundary-limited on both sides	Stable Foma identifier PNWGmcMnDissimilation is not a stage claim; no positive local ordering is established
SC023	active	historical_sound_change	SC018-SC025 editorial holding zone	SC023		yes	PNWGmcNStemNLoss	Proto-Germanic Word-Final N Loss		Proto-Germanic	Proto-Germanic	pgmc	pan_germanic	A	023-n-stem-n-loss.md	yes	yes	adjudicated	REFORMULATE/RETAIN	Germanic/docs/sound_changes/audits/sc023-adjudication.md	broad_far	Germanic/docs/sound_changes/order_tests/chronology_cards/SC023-nwgmc-n-stem-n-loss.md	no	Stage corrected to (pre-)PGmc general word-final *-n loss (sc023-adjudication.md). No earlier ordinary chronology break was found before bundled PWGmcChanges; later side is a one-sided counterfeeding boundary across SC047 with do as a negative witness (no-output `+?` derivation), stage-entailed rather than locally adjacent.	metadata_corrected	sc023-adjudication.md; 018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	Ringe 2017 pp.101-103: general (pre-)PGmc loss of word-final *-n with nasalization (proof set includes verb *dedo and pronoun *thano); Goth. tuggo shares the weak nom.sg. outcome; R/T 2014 pp.54-55 keep the nasalized reflex contrastive into PWGmc	Stable Foma identifier PNWGmcNStemNLoss is not a stage claim; executable {*o-n}-only environment is a deliberate citation-form proxy (protects sebun/nigun/tehun/hebun, Ringe 2017 p.103); distinct from late-cascade SC064 in-stem variant
SC024	active	historical_sound_change	Northwest Germanic developments	SC024		yes	PNWGmcLongELowering	NWGmc Long E1 Lowering	NWGmc Long E1 Lowering (e1 > a)	Northwest Germanic developments	Northwest Germanic	pnwgmc	pan_pnwgmc	B	024-long-e-lowering.md	yes	yes	adjudicated	SPLIT/REFORMULATE/REORDER	Germanic/docs/sound_changes/audits/sc024-sc025-sc101-e1-complex-adjudication.md	one_sided_chronology	Germanic/docs/sound_changes/order_tests/chronology_cards/SC024-nwgmc-long-e-lowering.md	no	Change A of the e1 complex: early NWGmc stressed *e1 > *a, all environments (nasal forms included: R/T print PNWGmc *mano, *manoth-, *spanuz). Later boundary independently demonstrated by displacement: moving SC024 after SC025/SC101 yields **manath, **spaan-type unrounded/unfronted outputs (month, spoon, sheep, year, sleep). Earlier side remains runner-limited (bundled PWGmcChanges); absolute early anchor is Early Runic makija (later 2nd c. AD, Gronvik 1998: 87 apud R/T p.12).	split_implemented	sc024-sc025-sc101-e1-complex-adjudication.md; sc024-adjudication.md; 018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	R/T 2014 pp.11-14: stressed *e1 > *a throughout NWGmc (p.13 and p.13 n.3 explicitly restrict to stressed syllables; unstressed *e took the shortening path, *fader p.147). Disputed: Fulk 2018 sec.4.6 pp.60-61 reconstructs low-front ae retained in Anglo-Frisian (backing to a a separate NGmc + inner-WGmc areal event); retention tradition Bennett 1950, Gronvik 1981/1998; Campbell sec.128-129 noncommittal. CAPR adopts R/T majority two-step view; confidence B.	Reformulated by the e1-complex re-adjudication: executable is now the single historical Change A, {*e-acute-long} -> {*a-long}, unconditioned (input restricted to the stressed tier; the five unstressed selected-input tokens father/mother/sister/have/live now take the sec.6.8.3 unstressed-shortening path, matching R/T p.147 *fader). Moved to the head of the early corridor (inside EarlyEnglishLineChanges immediately after PNWGmcAToUBeforeM, before MonosyllabicFinalZLoss so secondary compensatory long e cannot feed it, and before every genuinely PWGmc innovation). Its *a output is consumed by SC025 EAFLongANasalRounding and SC101 EAFLongAFronting (both pre-SC004). Former one-step *e -> *ae telescoping retired; surface outputs of every pre-existing corpus row unchanged.
