source_path	form	language	context_heading	previous_semantic_markup	final_semantic_markup	index_role_if_promoted	reason
Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	bezen	oe	Reconstruction and comparative evidence	[bezen]{.lex lang=oe}	[`bezen`]{.iv lang=oe sort=bezen role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	botm	oe	Reconstruction and comparative evidence	[botm]{.lex lang=oe}	[`botm`]{.iv lang=oe sort=botm role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	botm	oe	Old English evidence	[botm]{.lex lang=oe}	[`botm`]{.iv lang=oe sort=botm role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	bodan	oe	Old English evidence	[bodan]{.lex lang=oe}	[`bodan`]{.iv lang=oe sort=bodan role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	botm	oe	Old English evidence	[botm]{.lex lang=oe}	[`botm`]{.iv lang=oe sort=botm role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	botm	oe	Development to Old English	[botm]{.lex lang=oe}	[`botm`]{.iv lang=oe sort=botm role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	biegan	oe	Reconstruction and comparative evidence	[biegan]{.lex lang=oe}	[`biegan`]{.iv lang=oe sort=biegan role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	biegan	oe	Reconstruction and comparative evidence	[biegan]{.lex lang=oe}	[`biegan`]{.iv lang=oe sort=biegan role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1979-corn-corn.model.md	corn	oe	Reconstruction and comparative evidence	[corn]{.lex lang=oe}	[`corn`]{.iv lang=oe sort=corn role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
Germanic/docs/lexeme_reports/model_entries/1979-corn-corn.model.md	corn	oe	Old English evidence	[corn]{.lex lang=oe}	[`corn`]{.iv lang=oe sort=corn role=comparison_form}	comparison_form	promoted to index-bearing semantic evidence
