issue_id	entry_or_section	source_file	generated_location_if_available	issue_type	current_text_or_phrase	action_taken	citation_effect	status	notes
PVRA02-001	citation checkpoint / taxonomy	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md; Germanic/docs/assembly/book_prose/regular_all_01/*.book.md; Germanic/docs/lexeme_reports/model_entries/*.model.md	compact volume overall	no_action_needed	audit-10 upstream-only count vs current regular-model-only queue	re-ran the robust Pandoc parser by bucket and documented the split between generated, book-prose, non-regular, and regular-model-only sources	none	no_action_needed	generated and regular book-prose broad citations remain zero; the remaining broad queue is regular-model-only source material behind the compact regular book-prose layer
PVRA02-002	front matter / section introductions	Germanic/docs/assembly/section_introductions_draft.md	Introduction; Regular derivations	structural_vocabulary	current cascade	rewrote the remaining section-introduction phrasing to reader-facing sound-history language	none	fixed	Removed the last generated front-matter use of “current cascade.”
PVRA02-003	generated derivation summaries and labels	Germanic/docs/assembly/build_full_lexical_volume.py	multiple	table_label	selected input; selected target; selected form; documented trace; manual comparison; compact-trace output	normalized generated summary, outcome, and table language in assembly	none	fixed	the rebuilt compact Markdown now has zero hits for the targeted structural vocabulary list
PVRA02-004	needle / nǣdl	Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.model.md; Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.source_ledger.md; Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.reviewer_checklist.md; Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.model_implementation_report.md	### needle — OE nǣdl	table_label	selected input; compact-trace output; selected PGmc input	softened the alternant discussion and comparison-table wording; added the required audit note to sidecars	none	fixed	preserved the voiced/voiceless alternant analysis without meta phrasing
PVRA02-005	span / spanne	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md; Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.source_ledger.md; Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.reviewer_checklist.md; Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model_implementation_report.md	### span — OE spanne	table_label	selected regular dative singular comparison form; compact-trace output; selected target	rewrote the dative-singular prose and result-column wording; added the required audit note to sidecars	none	fixed	kept the nominative-vs-dative distinction while making the table read like book prose
PVRA02-006	loam / lām	Germanic/docs/lexeme_reports/model_entries/2109-loam-lām.model.md; Germanic/docs/lexeme_reports/model_entries/2109-loam-lām.source_ledger.md; Germanic/docs/lexeme_reports/model_entries/2109-loam-lām.reviewer_checklist.md; Germanic/docs/lexeme_reports/model_entries/2109-loam-lām.model_implementation_report.md	### loam — OE lām	structural_vocabulary	selected input; selected OE-facing stem class; compact-trace output	softened the class-comparison prose and table labels; added the required audit note to sidecars	none	fixed	preserved the class-shift analysis and citations
PVRA02-007	find / fundene	Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.model.md; Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.source_ledger.md; Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.reviewer_checklist.md; Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.model_implementation_report.md	### find — OE fundene	structural_vocabulary	selected comparison cell; selected target; compact-trace output	rewrote the oblique-participle explanation and comparison-table wording; added the required audit note to sidecars	none	fixed	preserved the participial-cell analysis while removing cell-selection phrasing
PVRA02-008	rust / rust	Germanic/docs/lexeme_reports/model_entries/2162-rust-rust.model.md; Germanic/docs/lexeme_reports/model_entries/2162-rust-rust.source_ledger.md; Germanic/docs/lexeme_reports/model_entries/2162-rust-rust.reviewer_checklist.md; Germanic/docs/lexeme_reports/model_entries/2162-rust-rust.model_implementation_report.md	### rust — OE rust	arrow_symbol	*rústō -> rost; *rustaz -> rost; *rústu -> rust	replaced reader-facing `->` rows with `>` and recast the table/result wording; added the required audit note to sidecars	none	fixed	one of the four negative-control / unexplained rows responsible for the last generated `->` occurrences
PVRA02-009	wolf / wulf	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md; Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.source_ledger.md; Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.reviewer_checklist.md; Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model_implementation_report.md	### wolf — OE wulf	arrow_symbol	In project terms; *wúlfaz -> wolf; *wúlfi / *wúlfis -> wylf / wylfe	removed the explicit project phrasing and replaced reader-facing `->` rows with `>`; added the required audit note to sidecars	none	fixed	preserved the negative-control argument against oblique-cell repair
PVRA02-010	wool / wull	Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model.md; Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.source_ledger.md; Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.reviewer_checklist.md; Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model_implementation_report.md	### wool — OE wull	arrow_symbol	documented output; regular trace output; *wúllō -> woll	replaced the row labels and reader-facing arrows with book-facing wording; added the required audit note to sidecars	none	fixed	preserved the lexical-exception analysis
