ID	TITLE	CHANGE_IDS	REPORT_PATH	STATUS	SOURCE_DOSSIER_PATHS	NOTES
014-015	Opening vowel prelude	SC014;SC015	full/014-015-opening-vowel-prelude.md	full	Germanic/docs/sound_changes/literature_dossiers/014-015-opening-vowel-prelude.dossier.md;Germanic/docs/sound_changes/book_dossiers/014-015-opening-vowel-prelude.book-dossier.md	promoted as a short asymmetric opening bridge with brief SC014 context and SC015 as the stronger `world`-anchored member; keep the SC016-SC020 and SC036 links as cross-references only
016-020	Early vocalic/final corridor	SC016;SC017;SC019;SC020	pilot/016-020-early-vocalic-final-corridor.md	pilot	Germanic/docs/sound_changes/literature_dossiers/016-oe-ws-palatal-glide.dossier.md;Germanic/docs/sound_changes/literature_dossiers/017-nwgmc-u-lowering.dossier.md;Germanic/docs/sound_changes/literature_dossiers/019-nwgmc-final-long-o-raising.dossier.md;Germanic/docs/sound_changes/literature_dossiers/020-pgmc-final-z-deletion.dossier.md;Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier.md	first multi-change pilot entry; follows lexical production-report style
018	Stressed monosyllable o-raising note	SC018	scaffold/018-stressed-monosyllable-o-raising-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	split from the dossier-prepared early NWGmc zone as a singleton scaffold note because SC018 remains historically legible but chronology-negative on both sides; keep bundled `PWGmcChanges` and the SC087 search boundary as methodological limits rather than chapter architecture
021	Unstressed o-raising note	SC021	full/021-unstressed-o-raising-note.md	full	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	promoted as the first singleton full report from the split early NWGmc zone because SC021 has a real but broad/far `SC021 < SC040` boundary via `heaven`; keep SC039-SC040 as a rightward cross-reference only and do not treat bundled `PWGmcChanges` as a historical boundary
022	Mn dissimilation note	SC022	scaffold/022-mn-dissimilation-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	split from the dossier-prepared early NWGmc zone as a singleton scaffold note because SC022 remains historically legible but chronology-negative on both sides; keep bundled `PWGmcChanges` and the SC087 search boundary as methodological limits rather than chapter architecture
023	N-stem n-loss note	SC023	full/023-n-stem-n-loss-note.md	full	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	promoted as the second singleton full report from the split early NWGmc zone because SC023 has a real but broad/far `SC023 < SC047` boundary via `do`; keep SC046-SC048 as a rightward cross-reference only and do not treat bundled `PWGmcChanges` as a historical boundary
024	Long e-lowering note	SC024	full/024-long-e-lowering-note.md	full	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	promoted as the third singleton full report from the split early NWGmc zone because SC024 has a real but broad/far `SC024 < SC056` boundary via `sheep` and `year`; keep SC055-SC056 as a rightward cross-reference only and do not treat bundled `PWGmcChanges` as a historical boundary
025	Long e nasal-rounding note	SC025	scaffold/025-long-e-nasal-rounding-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	split from the dossier-prepared early NWGmc zone as a singleton scaffold note because SC025 remains historically legible but chronology-negative on both sides; keep bundled `PWGmcChanges` and the SC087 search boundary as methodological limits rather than chapter architecture
026-027	Nasal spirant corridor	SC026;SC027	full/026-027-nasal-spirant-corridor.md	full	Germanic/docs/sound_changes/literature_dossiers/026-027-nasal-spirant-corridor.dossier.md;Germanic/docs/sound_changes/book_dossiers/026-027-nasal-spirant-corridor.book-dossier.md	promoted after dossier preparation and human review as the first paired full production report after the singleton promotions
028	Preconsonantal x-loss note	SC028	scaffold/028-preconsonantal-x-loss-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/028-030-glide-and-fronting-entry.dossier.md;Germanic/docs/sound_changes/book_dossiers/028-030-glide-and-fronting-entry.book-dossier.md	split out as a singleton scaffold note because SC028 is historically legible but chronology-negative on both sides; keep bundled `PWGmcChanges` and the SC087 search boundary as methodological limits rather than chapter architecture
