# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv (human judgements) + oe_pipeline (exec_index/cascade_position from germanic.txt)
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# Current SC state projection. Positions here are DERIVED and go stale the
# moment germanic.txt changes; regenerate, never edit. An empty
# cascade_position means the stage executes outside the numbered span
# (prelude or written-surface block); an empty exec_index means the SC has
# no executable stage.
sc_id	fst_identifier	entry_type	pipeline_stage	display_name	hist_stage	hist_scope	confidence	adjudication_status	verdict	exec_index	cascade_position
SC001	EnglishProtoInput	support_stage	Proto-Germanic consonant inheritance	Proto Input				unadjudicated		1	
SC002	PGmcGmSimplification	historical_sound_change	Proto-Germanic consonant inheritance	Gm Simplification				unadjudicated		2	
SC103	PGmcNasalLossBeforeX	historical_sound_change	Proto-Germanic	Proto-Germanic nasal loss before *x	pgmc	pan_germanic	A	adjudicated	SPLIT/REORDER	3	1
SC096	RootNounNomZLoss	historical_sound_change	Northwest Germanic developments	Root-noun nominative *-z* loss	pnwgmc	pan_pnwgmc	B	unadjudicated		4	2
SC014	PNWGmcUnstressedAiMonophthongization	historical_sound_change	Northwest Germanic developments	Proto-Northwest Germanic Unstressed Ai Monophthongization	pnwgmc	pan_pnwgmc	A	unadjudicated		5	3
SC005	PNWGmcAToUBeforeM	historical_sound_change	Proto-West Germanic developments	Proto-Northwest Germanic A To U Before M	pnwgmc	pan_pnwgmc	A	unadjudicated		6	4
SC024	PNWGmcLongELowering	historical_sound_change	Northwest Germanic developments	NWGmc Long E1 Lowering	pnwgmc	pan_pnwgmc	B	adjudicated	SPLIT/REFORMULATE/REORDER	7	5
SC006	PWGmcEarlyIApocope	historical_sound_change	Proto-West Germanic developments	PWGmc Early I Apocope	pwgmc	pan_wgmc	A	unadjudicated		8	6
SC007	PWGmcFinalOrLowering	historical_sound_change	Proto-West Germanic developments	PWGmc Final Or Lowering	pwgmc	pan_wgmc	A	unadjudicated		9	7
SC008	PWGmcCoronalWAssimilation	historical_sound_change	Proto-West Germanic developments	PWGmc Coronal W Assimilation	pwgmc	pan_wgmc	A	unadjudicated		10	8
SC009	PWGmcIjContraction	historical_sound_change	Proto-West Germanic developments	PWGmc Ij Contraction	pwgmc	pan_wgmc	A	unadjudicated		11	9
