code	title	columns	active	notes	index_note
pie	Proto-Indo-European	3	1	Deep comparative reconstruction stage; may be unused in current lexical volume.	
oe	Old English	3	1	Includes attested and reconstructed Old English forms; reconstructed OE retains its asterisk in display.	
pgmc	Proto-Germanic	3	1	Comparative proto-language and selected PGmc input-stage forms.	
pnwgmc	Proto-Northwest Germanic	3	1	Intermediate Northwest Germanic reconstructed stages where a Proto-Northwest analysis is explicitly used.	
pwgmc	Proto-West Germanic	3	1	Intermediate West Germanic reconstructed stages.	
paf	Proto-Anglo-Frisian	3	1	Optional intermediate stage used when a source or adopted analysis reconstructs an Anglo-Frisian common stage.	
preoe	Pre-Old English / prehistoric English	3	1	Historical English-branch stage between common Germanic stages and attested Old English; not a model-internal label.	
on	Old Norse	3	1	Comparison-language evidence.	
ohg	Old High German	3	1	Comparison-language evidence.	
ofris	Old Frisian	3	1	Comparison-language evidence.	
goth	Gothic	3	1	Comparison-language evidence.	
os	Old Saxon	3	1	Comparison-language evidence.	
odutch	Old Dutch	3	1	Comparison-language evidence when present.	
mdutch	Middle Dutch	3	1	Comparison-language evidence when present.	
dutch	Dutch	3	1	Comparison-language evidence when present.	
german	German	3	1	Modern German evidence when cited as linguistic data.	
lat	Latin	3	1	Non-Germanic comparison evidence.	
greek	Greek	3	1	Non-Germanic comparison evidence.	
skt	Sanskrit	3	1	Non-Germanic comparison evidence.	
me	Middle English	3	1	Historical English evidence when cited as a form, not a gloss.	
modeng	Modern English	3	1	Modern English forms only when cited as linguistic evidence, not as ordinary gloss prose.	
oirish	Old Irish	3	1	Comparison-language evidence when present.	
mlg	Middle Low German	3	1	Comparison-language evidence when present.	
