inventory_id	manifest_or_spot_id	entry	source_key	action_taken	outcome_summary	follow_up_needed
AUDIT05-ROW-0001	AUDIT04-REM-0001	birth / byrd	Hogg1992	retained_broad_with_source_specific_reason	Retained the broad Hogg citation because the deverbal-feminine background remains a distributed handbook discussion.	Keep the broad handbook citation unless the sentence is split to isolate the exact deverbal-feminine point.
AUDIT05-ROW-0002	AUDIT04-REM-0002	still / stillan	KlugeSeebold2011	source_witness_needed	Marked the Kluge still/stillen family note as witness-blocked: OCR entry confirmed, but no paginated Kluge witness is available.	Use a paginated Kluge-Seebold witness or another page-labeled comparative dictionary for the same entry.
AUDIT05-ROW-0003	AUDIT04-REM-0003	still / stillan	KlugeSeebold2011	source_witness_needed	Marked the adjective-versus-verb Kluge still/stillen note as witness-blocked for the same pagination reason.	Use a paginated Kluge-Seebold witness or recast the family note around already localized sources only.
AUDIT05-ROW-0004	AUDIT04-REM-0004	think / þenċan	BosworthToller1898	source_preparation_needed	Marked the Bosworth-Toller _þencan_ headword citation as source-preparation-needed because the multi-column OCR is not page-safe.	Recover a page-safe Bosworth-Toller page map or another paginated witness for the headword.
AUDIT05-ROW-0005	AUDIT04-REM-0005	warp / weorpan	RingeTaylor2014	retained_broad_with_source_specific_reason	Retained the broad Ringe-Taylor citation because the preterite-versus-infinitive distinction remains distributed across the class discussion.	Retain broad unless the preterite/infinitive contrast is split from the rest of the derivational sentence.
AUDIT05-ROW-0006	AUDIT04-REM-0006	fast / festan	Kroonen2013	source_preparation_needed	Marked the Kroonen fast-family citation as source-preparation-needed because the local witness confirms the entry but not a safe printed page.	Recover the printed Kroonen page from a PDF/page image or keep the broad family framing.
AUDIT05-ROW-0007	AUDIT04-REM-0007	fast / festan	RingeTaylor2014	retained_broad_with_source_specific_reason	Retained the broad Ringe-Taylor class-history citation for fast because no safer page was recovered.	Retain broad unless a safer page for the class-history clause is recovered.
AUDIT05-ROW-0008	AUDIT04-REM-0008	fast / festan	RingeTaylor2014	prose_softened_to_project_framing	Softened the analogical _æ_-form sentence in `fast / festan` to explicit project framing and removed the unsupported broad attribution.	No further action on this generated row in audit 05.
AUDIT05-ROW-0009	AUDIT04-REM-0009	knight / cniht	KlugeSeebold2011	source_witness_needed	Marked the Kluge _*knehta-_ citation as witness-blocked: OCR entry confirmed, but no paginated witness is available.	Use a paginated Kluge-Seebold witness or another page-labeled comparative dictionary for the same family.
AUDIT05-ROW-0010	AUDIT04-REM-0010	lap / lappa	SieversBrunner1965	locator_added	Localized the Sievers-Brunner citation in `lap / lappa` to `§10` and recast the sentence so the source-specific claim matches the verified section.	No further action on this generated row in audit 05.
