form	source_path	source_ref	heading	category	sort_key	context	note
āsceaf	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md:32	### Old English evidence	likely_oe	asceaf	regularizing the attested spellings `sceaf` and prefixed `āsceaf`.	
ā-sundrian	Germanic/docs/lexeme_reports/model_entries/2232-sunder-sundrian.model.md	Germanic/docs/lexeme_reports/model_entries/2232-sunder-sundrian.model.md:25	### Old English evidence	likely_oe	asundrian	Clark Hall and Bosworth-Toller keep `sundrian` and `syndrian` separate from adverbial `sundor`, and both preserve the prefixed verbal family `ā-sundrian` [@Clar	
*bacan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:1155	## SC046. Restoration of \emph{*a} before following back vowels (`OEARestoration`) {#rule-OEARestoration}	likely_oe	bacan	In prose, the rule changes earlier fronted \emph{*æ} back to \emph{*a} before the relevant following back-vowel environments. This is the step that turns fronte	
*bacan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:1157	## SC046. Restoration of \emph{*a} before following back vowels (`OEARestoration`) {#rule-OEARestoration}	likely_pgmc	bacan	Its chronology is explicit on both sides. If the rule is moved before [SC043 AngloFrisianBrightening](#rule-AngloFrisianBrightening), PGmc \emph{*bákaną} yields	
*bacan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:1179	## SC047. Heavy-syllable nasal apocope of final \emph{*ą} (`OEHeavySyllableNasalApocope`) {#rule-OEHeavySyllableNasalApocope}	likely_pgmc	bacan	Its chronology is real on both sides, though not equally local. If the rule is moved before [SC034 OEAwLongDiphthong](#rule-OEAwLongDiphthong), PGmc \emph{*strá	
*bacan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:1195	## SC048. Secondary nasalization before final \emph{*n} (`OESecondaryNasalization`) {#rule-OESecondaryNasalization}	likely_pgmc	bacan	Its chronology is explicit on both sides. If the rule is moved before [SC047 OEHeavySyllableNasalApocope](#rule-OEHeavySyllableNasalApocope), PGmc \emph{*bákaną	
*bacan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:2556	## SC078. Reduction of remaining weak-tail vowels (`OEWeakTailReduction`) {#rule-OEWeakTailReduction}	likely_pgmc	bacan	Its chronology is real on both sides, though the two sides are not equally local. If the rule is moved before [SC070 OEUnstressedFrontingEarly](#rule-OEUnstress	
*bainan	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:21	### Reconstruction and comparative evidence	likely_oe	bainan	Kroonen cites the noun as `*baina-`, and Orel gives the same lexeme under `*bainan` [@Kroonen2013; @Orel2003]. Both are comparative headword conventions for the	
*bainan	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:29	### Source note	likely_pgmc	bainan	The comparative headwords `*baina-` and `*bainan` provide lexeme background. The relevant comparison form here is the nominative-accusative singular `*báiną`.	
*bakanan	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	### Reconstruction and comparative evidence	likely_ohg	bakanan	Orel reconstructs the verb as `*bakanan` and cites Old English `bacan` beside Old High German `backan, bahhan` [@Orel2003]. Campbell gives `bacan` as one of the	
bāne	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25	### Old English evidence	likely_oe	bane	Clark Hall and Bosworth-Toller record `bān` as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898]. Bright's glossary also distinguishes citatio	
*bannan	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:21	### Reconstruction and comparative evidence	likely_pgmc	bannan	Orel cites a bann-noun under `*bannan`, while Seebold distinguishes bann-stems	
*baugijana	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:21	### Reconstruction and comparative evidence	likely_oe	baugijana	Kroonen reconstructs the weak verb as `*baugjan-` 'to (make) bend' and cites Old English `biegan` among its reflexes [@Kroonen2013]. Ringe and Taylor give the n	
*béagjan	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:21	### Reconstruction and comparative evidence	likely_oe	beagjan	Kroonen reconstructs the weak verb as `*baugjan-` 'to (make) bend' and cites Old English `biegan` among its reflexes [@Kroonen2013]. Ringe and Taylor give the n	
*bēagjan	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:29	### Development to Old English	likely_pgmc	beagjan	From `*báugijaną`, the stem reaches pre-Old-English `*bēagjan`, after which palatalization of `*gj` and i-umlaut yield West Saxon `biegan`; Campbell lists `bieg	
be-ginnan	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	### Old English evidence	likely_oe	beginnan	Bosworth-Toller and Clark Hall lemmatize the verb as `be-ginnan` / `beginnan` [@BosworthToller1898, 84; @ClarkHall1960]. Those plain-`g` dictionary spellings su	
beginnan	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	### Old English evidence	likely_oe	beginnan	Bosworth-Toller and Clark Hall lemmatize the verb as `be-ginnan` / `beginnan` [@BosworthToller1898, 84; @ClarkHall1960]. Those plain-`g` dictionary spellings su	
beide	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:31	### Reconstruction and comparative evidence	likely_false_positive	beide	behind Modern English `both`, German `beide`, and Dutch `beide`; it does not	
berige	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:31	### Old English evidence	likely_oe	berige	Campbell cites feminine `berige` 'berry' and notes that `-j-` is retained after	
*berstan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:2758	## SC087. Metathesis of \emph{*r} with a following short vowel (`OERMetathesis`) {#rule-OERMetathesis}	likely_pgmc	berstan	Its chronology is one-sided. If the rule is moved before [SC044 OEBreaking](#rule-OEBreaking), PGmc \emph{*bréstaną} yields *beorstan* rather than expected OE *	
bezen	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:27	### Reconstruction and comparative evidence	likely_on	bezen	gives `OE bezen (< *bō-jenō)` beside `ON báðir`, `OFris bēthe`, `OS be-thia`,	
*bīeġan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:1906	## SC057. Coalescence of velar + \emph{*j} clusters (`OEJClusterCoalescence`) {#rule-OEJClusterCoalescence}	likely_pgmc	biegan	zone. PGmc `*báugijaną` yields *bēaġan* ‘bend’ rather than expected OE *bīeġan*,	
biegan	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:21	### Reconstruction and comparative evidence	likely_oe	biegan	Kroonen reconstructs the weak verb as `*baugjan-` 'to (make) bend' and cites Old English `biegan` among its reflexes [@Kroonen2013]. Ringe and Taylor give the n	
biegan	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:25	### Old English evidence	likely_oe	biegan	Clark Hall lemmatizes `biegan`, and Bosworth-Toller records `bigan` with examples such as `Ic bēge mīne cneówa` and `Se ord bīgde upp tō þām hiltum` [@ClarkHall	
biegan	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:29	### Development to Old English	likely_false_positive	biegan	From `*báugijaną`, the stem reaches pre-Old-English `*bēagjan`, after which palatalization of `*gj` and i-umlaut yield West Saxon `biegan`; Campbell lists `bieg	
bigan	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:25	### Old English evidence	likely_oe	bigan	Clark Hall lemmatizes `biegan`, and Bosworth-Toller records `bigan` with examples such as `Ic bēge mīne cneówa` and `Se ord bīgde upp tō þām hiltum` [@ClarkHall	
bisceoprocc	Germanic/docs/lexeme_reports/model_entries/2155-coat-rocc.model.md	Germanic/docs/lexeme_reports/model_entries/2155-coat-rocc.model.md:25	### Old English evidence	likely_oe	bisceoprocc	Clark Hall and Bosworth-Toller record `rocc` as an over-garment or tunic and preserve compounds such as `bisceoprocc` and `breóstrocc` [@ClarkHall1960; @Boswort	
bodan	Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md:34	### Old English evidence	likely_oe	bodan	[@ClarkHall1960, 63]. Bosworth-Toller cross-references `bodan` to `botm`,	
