UNIT_ID	TITLE	CHANGE_IDS	REPORT_PATH	STATUS	SOURCE_CARD_PATHS	SOURCE_DOSSIER_PATHS	CHRONOLOGY_STATUS	LITERATURE_STATUS	RECOMMENDED_TREATMENT	ASSEMBLY_BEHAVIOR	NOTES
003	West Germanic rhotacism	SC003	full/003-pgmc-rhotacism.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC003-pgmc-rhotacism.md	Germanic/docs/sound_changes/literature_dossiers/003-pgmc-rhotacism.dossier.md;Germanic/docs/sound_changes/book_dossiers/003-pgmc-rhotacism.book-dossier.md	one-sided singleton with boundary-only earlier side at the left edge of the tested early-rule chain and a real but broad/far `SC003 < SC044` boundary via `learn`, `learn (3sg)`, `learn (iptv.2sg)`, and `meed`	source-backed with a cautious post-PWGmc West Germanic historical label; keep the CAPR rule name distinct from the historical interpretation	keep as a short singleton full report; treat the SC044 relation as a rightward cross-reference only and keep final `*z` deletion distinct	assemble_production_report	Promoted as a cautious early singleton after chronology validation and stage-label review. CAPR retains the rule name `PGmcRhotacism`, but the literature places the historical change more cautiously in the post-PWGmc West Germanic period rather than in Proto-Germanic proper. The earlier side is boundary-only; the later side is real but broad/far across SC044.
004	PWGmc ai-monophthongization note	SC004	full/004-pwgmc-ai-monophthongization.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC004-pwgmc-ai-monophthongization.md	Germanic/docs/sound_changes/literature_dossiers/004-pwgmc-ai-monophthongization.dossier.md;Germanic/docs/sound_changes/book_dossiers/004-pwgmc-ai-monophthongization.book-dossier.md	one-sided singleton with boundary-only earlier side at the left edge of the tested expanded-PWGmc chain and a real but broad/far `SC004 < SC036` boundary via `soul`	source-backed with explicit scope caution: the historical support is strongest for the unstressed and word-final side, while CAPR's broader nonfinal `*ai > *ā` packaging remains more explicit than the current handbook prose	keep as a short singleton full note; treat the SC036 relation as a rightward cross-reference only and keep the broader packaging caution explicit	assemble_production_report	Promoted as a cautious early singleton note after chronology validation. The earlier side is boundary-only; the later side is real but broad/far across SC036. The report keeps explicit scope caution for CAPR's broader `*ai > *ā` packaging.
006	Early i-apocope note	SC006	full/006-pwgmc-early-i-apocope.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC006-pwgmc-early-i-apocope.md	Germanic/docs/sound_changes/literature_dossiers/006-pwgmc-early-i-apocope.dossier.md;Germanic/docs/sound_changes/book_dossiers/006-pwgmc-early-i-apocope.book-dossier.md	one-sided singleton with boundary-only earlier side at the left edge of the tested expanded-PWGmc chain and a real but broad/far `SC006 < SC034` boundary via `show (3sg)`	source-backed by the suffixal anti-umlaut argument and the `geoguþ` pathway; keep that center of gravity clearer than the wider trace spread	keep as a short singleton full note; treat the SC034 relation as a rightward cross-reference only and keep the suffixal evidence central	assemble_production_report	Promoted as a cautious early singleton note after chronology validation. The earlier side is boundary-only; the later side is real but broad/far across SC034. The report keeps the suffixal anti-umlaut evidence at the center.
007	Final *ō-lowering before *r note	SC007	full/007-pwgmc-final-or-lowering.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC007-pwgmc-final-or-lowering.md	Germanic/docs/sound_changes/literature_dossiers/007-pwgmc-final-or-lowering.dossier.md;Germanic/docs/sound_changes/book_dossiers/007-pwgmc-final-or-lowering.book-dossier.md	one-sided singleton with boundary-only earlier side at the left edge of the tested expanded-PWGmc chain and a real but broad/far `SC007 < SC043` boundary via `water`	source-backed by the `four` and `water` evidence; keep the final/pre-final environment explicit and do not inflate the rule into a broad long-vowel chapter	keep as a short singleton full note; treat the SC043 relation as a rightward cross-reference only and keep the narrow witness set visible	assemble_production_report	Promoted as a cautious early singleton note after chronology validation. The earlier side is boundary-only; the later side is real but broad/far across SC043. The report keeps the `four` and `water` witness set at the center.
008	Coronal-w assimilation note	SC008	full/008-pwgmc-coronal-w-assimilation.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC008-pwgmc-coronal-w-assimilation.md	Germanic/docs/sound_changes/literature_dossiers/008-pwgmc-coronal-w-assimilation.dossier.md;Germanic/docs/sound_changes/book_dossiers/008-pwgmc-coronal-w-assimilation.book-dossier.md	one-sided singleton with boundary-only earlier side at the left edge of the tested expanded-PWGmc chain and a real but broad/far `SC008 < SC031` boundary via `four`	source-backed by `four` plus plural-pronominal material; keep the small witness set explicit and do not overread the broad formal rule	keep as a short singleton full note; treat the SC031 relation as a rightward cross-reference only and keep the pronominal support visible	assemble_production_report	Promoted as a cautious early singleton note after chronology validation. The earlier side is boundary-only; the later side is real but broad/far across SC031. The report keeps the small witness set explicit.
014-015	Opening vowel prelude	SC014;SC015	full/014-015-opening-vowel-prelude.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC014-nwgmc-unstressed-ai-monophthongization.md;Germanic/docs/sound_changes/order_tests/chronology_cards/SC015-nwgmc-i-lowering.md	Germanic/docs/sound_changes/literature_dossiers/014-015-opening-vowel-prelude.dossier.md;Germanic/docs/sound_changes/book_dossiers/014-015-opening-vowel-prelude.book-dossier.md	short asymmetric opening bridge: SC014 remains negative and boundary-limited; SC015 is the stronger member with broad/far `SC015 < SC036` via `world`; both earlier sides are runner-bounded at `PWGmcChanges`	literature and book dossiers drafted	keep as a short cautious full opening prelude; SC014 stays brief, SC015 carries the prose, and the SC016-SC020 / SC036 links remain cross-references only	assemble_production_report	SC014-SC015 is now promoted as a short opening bridge so the assembled half does not begin abruptly at the pilot corridor. The row remains explicitly asymmetric: SC014 is a source-backed but chronology-negative opening note, while SC015 is the stronger `world`-anchored member. Do not turn bundled `PWGmcChanges` or SC036 into chapter architecture.
016-020	Early vocalic/final corridor	SC016;SC017;SC019;SC020	pilot/016-020-early-vocalic-final-corridor.md	pilot	Germanic/docs/sound_changes/order_tests/chronology_cards/SC016-oe-ws-palatal-glide.md;Germanic/docs/sound_changes/order_tests/chronology_cards/SC017-nwgmc-u-lowering.md;Germanic/docs/sound_changes/order_tests/chronology_cards/SC019-nwgmc-final-long-o-raising.md;Germanic/docs/sound_changes/order_tests/chronology_cards/SC020-pgmc-final-z-deletion.md	Germanic/docs/sound_changes/literature_dossiers/016-oe-ws-palatal-glide.dossier.md;Germanic/docs/sound_changes/literature_dossiers/017-nwgmc-u-lowering.dossier.md;Germanic/docs/sound_changes/literature_dossiers/019-nwgmc-final-long-o-raising.dossier.md;Germanic/docs/sound_changes/literature_dossiers/020-pgmc-final-z-deletion.dossier.md;Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier.md	strong local corridor with forward links	substantial pilot source material	keep as pilot multi-change production report	assemble_production_report	Existing pilot report covers SC016, SC017, SC019, and SC020; do not scaffold these changes separately.
018	Stressed monosyllable o-raising note	SC018	full/018-stressed-monosyllable-o-raising-note.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC018-nwgmc-stressed-monosyllable-o-raising.md	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	boundary-limited on both sides; earlier search stops at bundled `PWGmcChanges`, later search reaches the SC087 boundary with no real break; do not turn either side into positive chronology	review and book dossiers drafted	keep as a short finished singleton note; keep bundled `PWGmcChanges` and the SC087 search boundary as methodological limits rather than historical chronology, and do not merge the rule into the pilot corridor or SC021	assemble_production_report	SC018 is now promoted as a short finished singleton note. It remains historically legible enough to stay visible between the pilot corridor and the later singleton sequence, but its current card still yields no positive first-break boundary on either side.
021	Unstressed o-raising note	SC021	full/021-unstressed-o-raising-note.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC021-nwgmc-unstressed-o-raising.md	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	one-sided singleton with runner-bounded earlier side and real but broad/far `SC021 < SC040` via `heaven` (`heofun` vs. `heofon`); bundled `PWGmcChanges` remains a runner limitation, not a historical boundary	review and book dossiers drafted	keep as a short singleton full note; keep promoted SC039-SC040 as a rightward cross-reference only and do not build a non-contiguous chapter	assemble_production_report	SC021 is now promoted as the first singleton full report from the split early NWGmc zone. The note stays architectural and modest: its one real outward chronology link points to SC040, while its left edge remains runner-bounded rather than historically fixed.
022	Mn dissimilation note	SC022	full/022-mn-dissimilation-note.md	full	Germanic/docs/sound_changes/order_tests/chronology_cards/SC022-nwgmc-mn-dissimilation.md	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	boundary-limited on both sides; earlier search stops at bundled `PWGmcChanges`, later search reaches the SC087 boundary with no real break; source support is descriptive but sufficient to keep the rule visible	review and book dossiers drafted	keep as a short finished singleton note; keep bundled `PWGmcChanges` and the SC087 search boundary as methodological limits rather than historical chronology, and do not merge the rule into SC021 or SC023	assemble_production_report	SC022 is now promoted as a short finished singleton note. It remains historically legible enough to stay visible, but its chronology evidence is still negative on both sides.
