file	key	status	page	reason	citation_chunk_before	citation_chunk_after	paragraph
1934-bake-bacan.model.md	BosworthToller1898	localized	72		[@BosworthToller1898; @ClarkHall1960]	[@BosworthToller1898, 72; @ClarkHall1960]	Bosworth-Toller and Clark Hall both record `bacan` as the ordinary Old English verb 'to bake' [@BosworthToller1898; @ClarkHall1960]. The target in this entry is therefore the attested infinitive headword itself, not a selected oblique or finite paradigm cell.
1934-bake-bacan.model.md	Campbell1959	localized	61		[@Campbell1959; @RingeTaylor2014]	[@Campbell1959, 61; @RingeTaylor2014]	Orel reconstructs the verb as `*bakanan` and cites Old English `bacan` beside Old High German `backan, bahhan` [@Orel2003]. Campbell gives `bacan` as one of the standard examples of Old English A-restoration before a single consonant, and Ringe and Taylor state the same development from `*bakan` to Old English `bacan` [@Campbell1959; @RingeTaylor2014].
1934-bake-bacan.model.md	Campbell1959	localized	61		[@Campbell1959; @RingeTaylor2014]	[@Campbell1959, 61; @RingeTaylor2014]	From `*bákaną`, Anglo-Frisian brightening first gives `*bækaną`. A-restoration then returns the stem vowel to `a` before single `k` plus the back-vocalic infinitive suffix, and later apocope and weak-tail reduction yield `bacan` [@Campbell1959; @RingeTaylor2014]. The development is therefore straightforward: `*bákaną > bacan`.
1936-ban-bannes.model.md	BosworthToller1898	localized	303		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 303]	Old English lexicographic evidence securely supports the noun itself. Clark Hall gives `+bann`, and Bosworth-Toller records `ge-bann` with oblique usage such as `gebanne` [@ClarkHall1960; @BosworthToller1898]. The exact unprefixed genitive `bannes` is less directly cited in the reviewed material, so it is best treated here as the selected regular genitive comparison form rather than as a dictionary headword.
1936-ban-bannes.model.md	Campbell1959	broad		passage found but page or claim scope could not be verified tightly enough for a locator	[@Campbell1959]		From `*bánnas`, the geminate remains medial before the case ending and the unstressed vowel develops regularly to give `bannes`. By contrast, citation `*bánną` loses its final vowel and simplifies the word-final geminate, so the regular nominative outcome is `ban` [@Campbell1959].
1943-begin-beġinnan.model.md	BosworthToller1898	localized	84		[@BosworthToller1898; @ClarkHall1960]	[@BosworthToller1898, 84; @ClarkHall1960]	Bosworth-Toller and Clark Hall lemmatize the verb as `be-ginnan` / `beginnan` [@BosworthToller1898; @ClarkHall1960]. Those plain-`g` dictionary spellings support the same verb that appears here in normalized form as `beġinnan`.
1943-begin-beġinnan.model.md	Campbell1959	localized	174		[@Campbell1959]	[@Campbell1959, 174]	The verb is modeled here as inherited `*bigínnaną`. Ringe and Taylor state that intervocalic `*g` is palatalized between front vowels in Old English [@RingeTaylor2014], and Campbell lists `ginnan` among familiar examples of palatal `g` in this verb family [@Campbell1959].
1946-berry-berġes.model.md	Campbell1959	localized	250		[@Campbell1959]	[@Campbell1959, 250]	Campbell cites feminine `berige` 'berry' and notes that `-j-` is retained after `r` in this type [@Campbell1959]. The reviewed evidence therefore supports the citation form more directly than the exact genitive `berġes`, which is best read here as the selected regular genitive comparison form rather than as a dictionary headword.
1949-bier-bǣr.model.md	BosworthToller1898	localized	73		[@ClarkHall1960; @BosworthToller1898; @Kroonen2013, 717]	[@ClarkHall1960; @BosworthToller1898, 73; @Kroonen2013, 717]	Clark Hall and Bosworth-Toller lemmatize the noun as `bær`, and Kroonen also records `bar` beside it [@ClarkHall1960; @BosworthToller1898; @Kroonen2013, 717]. The target `bǣr` is therefore a normalized long-vowel spelling of the same noun.
1949-bier-bǣr.model.md	BosworthToller1898	localized	73		[@ClarkHall1960; @BosworthToller1898; @Kroonen2013, 717]	[@ClarkHall1960; @BosworthToller1898, 73; @Kroonen2013, 717]	Lexicographic spellings vary between `bær` and `bar`. The normalized target `bǣr` simply marks the same long vowel explicitly [@ClarkHall1960; @BosworthToller1898; @Kroonen2013, 717].
1951-birth-byrd.model.md	BosworthToller1898	localized	125		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 125]	Clark Hall and Bosworth-Toller both attest simplex `byrd` as an Old English noun meaning 'birth' [@ClarkHall1960; @BosworthToller1898]. The prefixed form `gebyrd` is also well established in the tradition: Kroonen lists `(ge-)byrd`, Bosworth-Toller has a separate `ge-byrd` entry, and Campbell cites `gebyrd` and `gebyrdu` in his grammatical discussion [@Kroonen2013; @BosworthToller1898; @Campbell1959].
1951-birth-byrd.model.md	BosworthToller1898	localized	125		[@Kroonen2013; @BosworthToller1898; @Campbell1959]	[@Kroonen2013; @BosworthToller1898, 125; @Campbell1959]	Clark Hall and Bosworth-Toller both attest simplex `byrd` as an Old English noun meaning 'birth' [@ClarkHall1960; @BosworthToller1898]. The prefixed form `gebyrd` is also well established in the tradition: Kroonen lists `(ge-)byrd`, Bosworth-Toller has a separate `ge-byrd` entry, and Campbell cites `gebyrd` and `gebyrdu` in his grammatical discussion [@Kroonen2013; @BosworthToller1898; @Campbell1959].
1951-birth-byrd.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Kroonen2013; @BosworthToller1898; @Campbell1959]		Clark Hall and Bosworth-Toller both attest simplex `byrd` as an Old English noun meaning 'birth' [@ClarkHall1960; @BosworthToller1898]. The prefixed form `gebyrd` is also well established in the tradition: Kroonen lists `(ge-)byrd`, Bosworth-Toller has a separate `ge-byrd` entry, and Campbell cites `gebyrd` and `gebyrdu` in his grammatical discussion [@Kroonen2013; @BosworthToller1898; @Campbell1959].
1954-bone-bān.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960; @BosworthToller1898]		Clark Hall and Bosworth-Toller record `bān` as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898]. Bright's glossary also distinguishes citation-form `bān` from oblique `bāne`, which keeps the nominative-accusative singular separate from the rest of the paradigm [@BrightCassidyRingler1971].
1961-bow-bīeġan.model.md	BosworthToller1898	localized	102		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 102]	Clark Hall lemmatizes `biegan`, and Bosworth-Toller records `bigan` with examples such as `Ic bēge mīne cneówa` and `Se ord bīgde upp tō þām hiltum` [@ClarkHall1960; @BosworthToller1898]. The form `bīeġan` used here is a normalized spelling of that attested Old English weak verb.
1961-bow-bīeġan.model.md	Campbell1959	localized	80		[@RingeTaylor2014; @Campbell1959]	[@RingeTaylor2014; @Campbell1959, 80]	From `*báugijaną`, the stem reaches pre-Old-English `*bēagjan`, after which palatalization of `*gj` and i-umlaut yield West Saxon `biegan`; Campbell lists `biegan` among the regular `ie` outcomes of `*éa` under i-umlaut [@RingeTaylor2014; @Campbell1959]. The development is therefore straightforward: `*báugijaną > bīeġan`.
1965-brand-brandes.model.md	BosworthToller1898	localized	116		"[@ClarkHall1960;
@BosworthToller1898]"	"[@ClarkHall1960;
@BosworthToller1898, 116]"	Old English dictionaries lemmatize the noun as `brand` [@ClarkHall1960; @BosworthToller1898]. Bosworth-Toller also records inflectional forms such as `brandas`, `branda`, and `brandum` under the same entry [@BosworthToller1898].
1965-brand-brandes.model.md	BosworthToller1898	localized	116		[@BosworthToller1898]	[@BosworthToller1898, 116]	Old English dictionaries lemmatize the noun as `brand` [@ClarkHall1960; @BosworthToller1898]. Bosworth-Toller also records inflectional forms such as `brandas`, `branda`, and `brandum` under the same entry [@BosworthToller1898].
1968-breast-brēost.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960, 65]		Old English dictionaries record the noun as `brēost` / `breóst` [@BosworthToller1898; @ClarkHall1960, 65]. The form is an established Old English lexeme, not a reconstructed target assembled from comparative evidence alone.
1968-breast-brēost.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		From `*bréustą`, the regular Old English development gives `brēost`, with the expected `eu > ēo` vowel history [@Campbell1959]. No special repair is needed once the correct thematic formation is chosen.
1973-buck-bucc.model.md	BosworthToller1898	localized	122		[@Campbell1959; @ClarkHall1960; @BosworthToller1898]	[@Campbell1959; @ClarkHall1960; @BosworthToller1898, 122]	Old English preserves a mixed lexical picture. Campbell cites `bucca` in the exception set for this phonological environment, while Clark Hall and Bosworth-Toller show that Old English has both `bucca` and `bucc` [@Campbell1959; @ClarkHall1960; @BosworthToller1898]. The a-stem citation form `bucc` is the target treated here, with `bucca` kept as genuine philological background from the same lexical family.
1973-buck-bucc.model.md	Campbell1959	broad		passage found but page or claim scope could not be verified tightly enough for a locator	[@Campbell1959; @ClarkHall1960; @BosworthToller1898]		Old English preserves a mixed lexical picture. Campbell cites `bucca` in the exception set for this phonological environment, while Clark Hall and Bosworth-Toller show that Old English has both `bucca` and `bucc` [@Campbell1959; @ClarkHall1960; @BosworthToller1898]. The a-stem citation form `bucc` is the target treated here, with `bucca` kept as genuine philological background from the same lexical family.
