inventory_id	manifest_or_spot_id	entry	source_key	action_taken	outcome_summary	follow_up_needed
AUDIT08-SPOT-0001	AUDIT07-ROW-0001	still / stillan	KlugeSeebold2011	spotcheck_confirmed_safe	Confirmed that printed p. 885 still shows the `still` entry evidence used in the prose and that the audit-07 evidence row remains accurate.	No correction needed.
AUDIT08-SPOT-0002	AUDIT07-ROW-0002	still / stillan	KlugeSeebold2011	spotcheck_confirmed_safe	Confirmed that printed p. 886 still shows the `stillen` entry evidence used in the form note and that the audit-07 evidence row remains accurate.	No correction needed.
AUDIT08-SPOT-0003	AUDIT07-ROW-0003	knight / cniht	KlugeSeebold2011	spotcheck_confirmed_safe	Confirmed that printed p. 506 still shows `*knehta- ... ae. cniht` and that the localized prose does not overstate the witness.	No correction needed.
AUDIT08-SPOT-0004	AUDIT07-ROW-0004	loam / lām	BosworthToller1898	spotcheck_confirmed_safe	Confirmed that printed p. 604 still shows the `lam` headword block and that the audit-07 evidence row remains accurate.	No correction needed.
AUDIT08-SPOT-0005	AUDIT07-ROW-0005	neck / hnecca	KlugeSeebold2011	spotcheck_confirmed_safe	Confirmed that printed p. 347 still shows `ae. hnecca ... Nacken` and that the localized prose remains witness-safe.	No correction needed.
AUDIT08-SPOT-0006	AUDIT07-ROW-0006	sieve / sife	KlugeSeebold2011	spotcheck_confirmed_safe	Confirmed that printed p. 847 still shows `wg. *sibi- ... ae. sife` and that the audit-07 evidence row remains accurate.	No correction needed.
AUDIT08-SPOT-0007	AUDIT07-ROW-0007	world / weorold	KlugeSeebold2011	spotcheck_confirmed_safe	Confirmed that printed p. 981 still shows `*wira-aldo ... ae. weorold` and that the tightened audit-07 prose remains within the witness.	No correction needed.
AUDIT08-ROW-0001	AUDIT04-REM-0001	birth / byrd	Hogg1992	retained_broad_with_reason	Hogg still treats `byrd` inside a broader deverbal-feminine discussion rather than in a single page-localizable clause.	Retain broad unless the sentence is split more aggressively than is currently desirable.
AUDIT08-ROW-0002	AUDIT04-REM-0005	warp / weorpan	RingeTaylor2014	localized_with_locator	Split the sentence and localized the preterite-versus-infinitive contrast to `RingeTaylor2014, 195` and `197`.	No further action on this generated row in audit 08.
AUDIT08-ROW-0003	AUDIT04-REM-0007	fast / festan	RingeTaylor2014	localized_with_locator	Narrowed the class-history sentence to the directly witnessed wording on `RingeTaylor2014, 110`.	No further action on this generated row in audit 08.
AUDIT08-ROW-0004	AUDIT04-REM-0015	needle / nǣdl	Hogg1992	retained_broad_with_reason	Hogg's `nidi / nǣdl` discussion remains embedded in a broader phonological cluster history rather than one clean entry-like clause.	Retain broad unless the sentence is narrowed more sharply.
AUDIT08-ROW-0005	AUDIT04-REM-0019	world / weorold	SieversBrunner1965	localized_with_locator	Localizable stable section evidence was recovered, so the variant-cluster clause now cites `SieversBrunner1965, §113`.	No further action on this generated row in audit 08.
AUDIT08-ROW-0006	AUDIT04-REM-0020	ban / bannes	Campbell1959	retained_broad_with_reason	The nominative-apocope and word-final-geminate simplification claim remains bundled more broadly than one safe Campbell locator allows.	Retain broad unless the nominative clause is recast.
AUDIT08-ROW-0007	AUDIT04-REM-0021	fright / fyrhte	RingeTaylor2014	retained_broad_with_reason	The nominative-remodeling versus oblique-inheritance contrast still behaves like distributed handbook synthesis rather than a single page-bound clause.	Retain broad unless a source-specific page is recovered.
AUDIT08-ROW-0008	AUDIT04-REM-0024	shove / sċēaf	RingeTaylor2014	retained_broad_with_reason	The remaining class-II present-versus-preterite split sentence is still broader than one safe page locator.	Retain broad unless that synthesis sentence is split again.
AUDIT08-ROW-0009	AUDIT04-REM-0025	span / spanne	SieversBrunner1965	retained_broad_with_reason	The dative-singular paradigm claim still depends on a broader paradigm discussion rather than one clean section-locatable clause.	Retain broad unless the paradigm-cell sentence is rewritten around narrower evidence.
AUDIT08-ROW-0010	AUDIT04-REM-0026	learn (iptv.2sg) / liorna	Fulk2018	localized_with_locator	Fulk's learn-family clause was localized safely to `Fulk2018, 127`.	No further action on this generated row in audit 08.
AUDIT08-ROW-0011	AUDIT04-REM-0027	lick (iptv.2sg) / licca	RingeTaylor2014	localized_with_locator	Narrowed the lexeme-family sentence from a broad class-II paraphrase to the directly witnessed `*li/ekkōn > OE liccian` line on `RingeTaylor2014, 50`.	No further action on this generated row in audit 08.
AUDIT08-ROW-0012	AUDIT04-REM-0028	lick (3sg) / liccaþ	RingeTaylor2014	localized_with_locator	Narrowed the lexeme-family sentence from a broad class-II paraphrase to the directly witnessed `*li/ekkōn > OE liccian` line on `RingeTaylor2014, 50`.	No further action on this generated row in audit 08.
