# rule_coverage_census.tsv
# Machine-readable corpus-coverage census for the historical sound changes.
# Generated by Germanic/tools/rule_coverage_census.py from the committed full
# trace report; regenerate after any corpus or cascade change.
# Invariant: every historical rule's coverage status is explicit and
# understood. "Every rule must fire" is deliberately NOT an invariant.
sc_id	foma_identifier	cascade_position	corpus_firing_count	lexical_witnesses	coverage_status	note
SC096	RootNounNomZLoss	1	4	book, flea, goose, louse	witnessed	
SC014	PNWGmcUnstressedAiMonophthongization	2	2	meed, span	witnessed	
SC005	PNWGmcAToUBeforeM	3	1	shoulder	witnessed	
SC006	PWGmcEarlyIApocope	4	9	have, live, shoulder, thousand, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (3sg)	witnessed	
SC007	PWGmcFinalOrLowering	5	2	four, water	witnessed	
SC008	PWGmcCoronalWAssimilation	6	2	four, you	witnessed	
SC009	PWGmcIjContraction	7	1	friend	witnessed	
SC010	PWGmcJGemination	8	8	hedge, laugh, lung, net, set, sit, will	witnessed	
SC011	PWGmcSyllabicJ	9	0		synthetic_only	Zero corpus firings; validated by synthetic unit controls and the handbook sources.
SC012	EAFLThVoicing	10	4	field, fold, gold, wold	witnessed	
SC013	PWGmcDentalHardening	11	4	cud, find, lade, needle	witnessed	
SC015	PNWGmcILowering	12	4	meed, nest, wether, world	witnessed	
SC017	PNWGmcULowering	13	39	board, bore, bottom, bow, corn, crop, door, foal, folk, fox, frost, god, gold, hoard, horn, knob, lock, nose, oven, ox, coat, shovel, sorrow, spur, stock, stork, storm, thorn, trough, word, yoke, bore (iptv.2sg), bore (3sg), buck, fowl, rust, wolf, wool	witnessed	
SC018	PNWGmcStressedMonosyllableORaising	14	1	both	witnessed	
SC019	PNWGmcFinalLongORaising	15	29	beech, bier, dew, hall, help, herd, hind, linden, liver, lung, lye, march, nave, needle, nose, rind, rood, sake, salve, shame, shovel, shower, sorrow, soul, spindle, tongs, while, rust, wool	witnessed	
