change_id	display_name	alias	alias_type	notes	source
SC001	Proto Input	Proto Input	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC001	Proto Input	ProtoInput	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC001	Proto Input	EnglishProtoInput	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC001	Proto Input	Proto Input	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
SC002	Gm Simplification	Gm Simplification	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC002	Gm Simplification	GmSimplification	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC002	Gm Simplification	PGmcGmSimplification	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC002	Gm Simplification	Gm Simplification	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
SC003	Rhotacism	Rhotacism	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC003	Rhotacism	Rhotacism	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC003	Rhotacism	EAFRhotacism	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC003	Rhotacism	PGmcRhotacism	former_foma_rule_name	former identifier before EAF-stage rename (behaviour-neutral)	Germanic/fsts/germanic.txt
SC003	Rhotacism	Rhotacism	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
SC003	Rhotacism	z-rhotacism	literature_search_alias	obvious search alias from the current rule name	inventory_audit_02 aliasing
SC004	PWGmc Ai Monophthongization	PWGmc Ai Monophthongization	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC004	PWGmc Ai Monophthongization	PWGmcAiMonophthongization	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC004	PWGmc Ai Monophthongization	PWGmcAiMonophthongization	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC004	PWGmc Ai Monophthongization	Proto-West Germanic Ai Monophthongization	normalized_stage_name	abbreviations expanded for dossier matching	inventory_audit_02 normalization
SC004	PWGmc Ai Monophthongization	PWGmc Ai Monophthongization	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
SC005	Proto-Northwest Germanic A To U Before M	NWGmc A To U Before M	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC005	Proto-Northwest Germanic A To U Before M	PNWGmcAToUBeforeM	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC005	Proto-Northwest Germanic A To U Before M	PNWGmcAToUBeforeM	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC005	Proto-Northwest Germanic A To U Before M	Northwest Germanic A To U Before M	normalized_stage_name	abbreviations expanded for dossier matching	inventory_audit_02 normalization
SC005	Proto-Northwest Germanic A To U Before M	NWGmc A To U Before M	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
SC005	Proto-Northwest Germanic A To U Before M	NWGmcAToUBeforeM	former_foma_rule_name	former identifier before PNWGmc-stage rename (behaviour-neutral)	Germanic/fsts/germanic.txt
SC006	PWGmc Early I Apocope	PWGmc Early I Apocope	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC006	PWGmc Early I Apocope	PWGmcEarlyIApocope	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC006	PWGmc Early I Apocope	PWGmcEarlyIApocope	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC006	PWGmc Early I Apocope	Proto-West Germanic Early I Apocope	normalized_stage_name	abbreviations expanded for dossier matching	inventory_audit_02 normalization
SC006	PWGmc Early I Apocope	PWGmc Early I Apocope	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
SC007	PWGmc Final Or Lowering	PWGmc Final Or Lowering	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC007	PWGmc Final Or Lowering	PWGmcFinalOrLowering	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC007	PWGmc Final Or Lowering	PWGmcFinalOrLowering	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC007	PWGmc Final Or Lowering	Proto-West Germanic Final Or Lowering	normalized_stage_name	abbreviations expanded for dossier matching	inventory_audit_02 normalization
SC007	PWGmc Final Or Lowering	PWGmc Final Or Lowering	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
SC008	PWGmc Coronal W Assimilation	PWGmc Coronal W Assimilation	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC008	PWGmc Coronal W Assimilation	PWGmcCoronalWAssimilation	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC008	PWGmc Coronal W Assimilation	PWGmcCoronalWAssimilation	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC008	PWGmc Coronal W Assimilation	Proto-West Germanic Coronal W Assimilation	normalized_stage_name	abbreviations expanded for dossier matching	inventory_audit_02 normalization
SC008	PWGmc Coronal W Assimilation	PWGmc Coronal W Assimilation	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
SC009	PWGmc Ij Contraction	PWGmc Ij Contraction	trace_label		Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
SC009	PWGmc Ij Contraction	PWGmcIjContraction	sandbox_stage_name		Germanic/fsts/old_english_sandbox.txt
SC009	PWGmc Ij Contraction	PWGmcIjContraction	foma_rule_name	underlying germanic.txt define	Germanic/fsts/germanic.txt
SC009	PWGmc Ij Contraction	Proto-West Germanic Ij Contraction	normalized_stage_name	abbreviations expanded for dossier matching	inventory_audit_02 normalization
SC009	PWGmc Ij Contraction	PWGmc Ij Contraction	book_display_candidate	candidate label for the eventual sound-change volume entry	inventory_audit_02 planning
