ID	CONCEPT	COUNTERPART	PROTOFORM	DERIVATION_CLASS	REPORT_PATH	STATUS
1933	adder	nǣdre	*nḗdrōn	regular	pilot/adder.md	format_test
1936	ban	bannes	*bánnas	late_analogy	pilot/ban.md	pilot
1946	berry	berġes	*bázjas	late_analogy	pilot/berry.md	pilot
1959	bottom	botm	*búttmaz	early_analogy	pilot/bottom.md	pilot
1973	buck	bucc	*búkkaz	unexplained_unmodelled	pilot/buck.md	pilot
1981	craft	cræft	*kráftaz	early_analogy	pilot/craft.md	pilot
1983	cud	cwedu	*kwéðuz	attested_variant	pilot/cud.md	pilot
2013	fire	fȳre	*fūri	known_unmodelled	pilot/fire.md	pilot
2151	reek	rēac	*ráukaz	reconstructed_oe	pilot/reek.md	pilot
2203	span	spanne	*spánnai	late_analogy	pilot/span.md	pilot
2240	tap	tæppa	*táppô	known_unmodelled	pilot/tap.md	pilot
2250	thistle	þistles	*θístilas	late_analogy	pilot/thistle.md	pilot
