inventory_id	manifest_or_spot_id	entry	source_key	action_taken	outcome_summary	follow_up_needed
AUDIT07-SPOT-0001	AUDIT06-ROW-0004	think / þenċan	BosworthToller1898	spotcheck_confirmed_safe	Confirmed that Bosworth-Toller printed p. 442 still shows the `ge-pencan` headword block and that the prose does not overstate the page.	No correction needed.
AUDIT07-SPOT-0002	AUDIT06-ROW-0006	fast / festan	Kroonen2013	spotcheck_confirmed_safe	Confirmed that Kroonen printed p. 171 still shows `*fastu-` and the derived `*fasten-` verbal line used in the prose.	No correction needed.
AUDIT07-SPOT-0003	AUDIT06-ROW-0009	loam / lām	Orel2003	spotcheck_confirmed_safe	Confirmed that Orel printed p. 272 still shows `*laimōn ... OE neut. lám`.	No correction needed.
AUDIT07-SPOT-0004	AUDIT06-ROW-0012	neck / hnecca	Orel2003	spotcheck_confirmed_safe	Confirmed that Orel printed p. 218 still shows `*xnakkaz *xnakkōn` and the wider neck-family material cited in the prose.	No correction needed.
AUDIT07-SPOT-0005	AUDIT06-ROW-0015	world / weorold	Orel2003	spotcheck_confirmed_safe	Confirmed that Orel printed p. 501 still shows `*wira-aldiz ... OE weor-old`.	No correction needed.
AUDIT07-SPOT-0006	AUDIT06-ROW-0025	wolf / wulf	Kroonen2013	spotcheck_confirmed_safe	Confirmed that Kroonen printed p. 638 still shows `*wulfa- ... OE wulf`.	No correction needed.
AUDIT07-ROW-0001	AUDIT04-REM-0002	still / stillan	KlugeSeebold2011	locator_added	Recovered printed p. 885 from the newly added local Kluge PDF and localized the wider `still / stillen` family sentence in regular book prose.	No further action on this generated row in audit 07.
AUDIT07-ROW-0002	AUDIT04-REM-0003	still / stillan	KlugeSeebold2011	locator_added	Recovered printed p. 886 from the local Kluge PDF and localized the adjective-versus-verb family note.	No further action on this generated row in audit 07.
AUDIT07-ROW-0003	AUDIT04-REM-0009	knight / cniht	KlugeSeebold2011	locator_added	Recovered printed p. 506 from the local Kluge PDF and localized the `*knehta- ... ae. cniht` claim.	No further action on this generated row in audit 07.
AUDIT07-ROW-0004	AUDIT04-REM-0012	loam / lām	BosworthToller1898	locator_added	Recovered printed p. 604 from the local Bosworth PDF text layer and localized the `lam` headword evidence for `lām`.	No further action on this generated row in audit 07.
AUDIT07-ROW-0005	AUDIT04-REM-0013	neck / hnecca	KlugeSeebold2011	locator_added	Recovered printed p. 347 from the local Kluge PDF and localized the `ae. hnecca ... Ablaut zu Nacken` claim.	No further action on this generated row in audit 07.
AUDIT07-ROW-0006	AUDIT04-REM-0016	sieve / sife	KlugeSeebold2011	locator_added	Recovered printed p. 847 from the local Kluge PDF and localized the `wg. *sibi- ... ae. sife` claim.	No further action on this generated row in audit 07.
AUDIT07-ROW-0007	AUDIT04-REM-0018	world / weorold	KlugeSeebold2011	locator_added	Recovered printed p. 981 from the local Kluge PDF and tightened the prose to the compound-plus-OE wording actually shown by the witness.	No further action on this generated row in audit 07.
AUDIT07-CLAIM-0001	claim-isolation-review	remaining generated broad rows	mixed	no_new_locator	No additional claim-isolation locators were added in this pass; the remaining twelve generated broad rows still require sentence splitting or more precise section recovery rather than new witness preparation.	Carry these rows into the next generated broad-citation pass.
