manifest_id	entry	class_bucket	source_key	current_status	current_citation_span	surrounding_sentence	source_layer	local_sources_checked	external_or_alternate_sources_checked	search_terms_used	passage_found	page_or_section_verified	action_taken	locator_added	new_status	file_changed	notes
CLMM01-0007	breeches / brēċ	regular	Kroonen2013	verified_page_candidate	[@Kroonen2013]	Kroonen cites the noun under _\*brōk-_, with Old English _brōc_ and plural 'breeches' among its reflexes [@Kroonen2013]. Ringe and Taylor give the plural development directly as PNWGmc _\*brokiz_ > _\*breeci_ > OE _bréc_ [@RingeTaylor2014, 223]. Bright notes _brōc_ with plural _brēc_, and Clark Hall gives _bréc_ fp. breeches while also listing _broc_ as a feminine noun probably represented chiefly in the plural [@BrightCassidyRingler1971, 38; @ClarkHall1960, 64]. After loss of final _-z_, the stem ends in _-ki_, so the velar palatalizes and _ō_ undergoes i-umlaut to _ē_; final high-vowel apocope then yields _brēċ_ [@RingeTaylor2014, 223].	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		brök; breeches; brōc	yes	p. 78	locator_added	78	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/1969-breeches-brēċ.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen entry directly cites the OE breeches family.
CLMM01-0010	deed / dǣd	regular	Orel2003	verified_page_candidate	[@Orel2003; @RingeTaylor2014, 27]	Orel reconstructs the noun as _\*dēdiz_, and Ringe and Taylor derive the same inherited i-stem from Proto-Germanic _\*dédiz_ through northwest Germanic _\*dadiz_ [@Orel2003; @RingeTaylor2014, 27]. The stress-marked form _\*dḗdiz_ represents that same inherited noun in a notation that keeps the stressed long vowel explicit. Campbell states that Primitive Germanic long _ē_ appears as West Saxon _ǣ_ but in other Old English dialects mostly as _ē_ [@Campbell1959, §128]. Brunner gives the contrast explicitly as West Saxon _dǣd_ beside non-West-Saxon _dēd_ [@SieversBrunner1965, §98]. From inherited _\*dēdiz_, loss of final _-z_ and the West Saxon lowering of stressed long _ē_ yield _dǣd_ [@Campbell1959, §128]; Anglian _dēd_ preserves the non-West-Saxon outcome [@SieversBrunner1965, §98].	regular_book_prose	docs/references/orel_handbook_germanic_etymology.vision.txt		dēdiz; deed; dǣd	yes	p. 71	locator_added	71	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/1987-deed-dǣd.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Orel entry directly supports the inherited deed noun.
CLMM01-0016	fell / fell	regular	Kroonen2013	verified_page_candidate	[@Kroonen2013]	Kroonen reconstructs the noun as _\*fella-_ 'membrane, skin, hide' and cites Old English _fell_ beside Dutch _vel_ and German _Fell_ [@Kroonen2013]. The selected input _\*féllą_ is the derivable singular form of that same inherited noun. Clark Hall records _fell_ as the noun 'fell, skin, hide' [@ClarkHall1960, 115]. Bright's glossary likewise gives _fell, n._, with inflected forms such as accusative singular _fel_ and dative plural _fellum_ [@BrightCassidyRingler1971, 277]. With _\*féllą_, no special earlier reshaping is needed: heavy-syllable nasal apocope yields _\*féll_, surfacing as _fell_.	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		fella; fell	yes	p. 135	locator_added	135	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2007-fell-fell.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen entry directly cites OE fell.
CLMM01-0033	gang / gang	regular	Orel2003	general_background	[@Orel2003]	Orel reconstructs the noun as _\*gangaz_ and cites Old English _gang_ beside Old Norse _gangr_, Old Frisian _gang / gong_, Old Saxon _gang_, and Old High German _gang_ [@Orel2003]. The selected input _\*gángaz_ is the same lexeme in the accent notation used here. Bosworth-Toller records _gang_ as the noun 'going, journey, way' [@BosworthToller1898, 159], and Bright's glossary gives _gong (gang), m., path, course_ [@BrightCassidyRingler1971, 392]. From _\*gángaz_, loss of final _-z_ gives _\*gánga_, and later loss of final bare _-a_ yields _gang_.	regular_book_prose	docs/references/orel_handbook_germanic_etymology.vision.txt		gang; *gangaz	no		headword_not_found_after_recheck		headword_not_found_after_recheck	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct OCR recheck of Orel did not recover a gang entry or attested OE gang line that safely supports this sentence.
CLMM01-0042	gold / gold	regular	Kroonen2013	retained_broad_multi_page_discussion	[@RingeTaylor2014, 42; @Kroonen2013]	Ringe and Taylor cite the noun as _\*gulþa-_ / _\*gulda-_, and Kroonen gives the same pair [@RingeTaylor2014, 42; @Kroonen2013]. The selected input _\*gúlθą_ preserves the older consonantal form while leaving open whether the medial stop reflects inherited alternation or regular West Germanic development. Bosworth-Toller and Clark Hall both record _gold_ as the ordinary Old English neuter noun [@BosworthToller1898, 121; @ClarkHall1960, 152]. From _\*gúlθą_, the regular consonant development gives _\*gúldą_; Northwest Germanic / Old English lowering then yields _\*góldą_, and apocope gives _gold_ [@Campbell1959, §414; @RingeTaylor2014, 42]. Ringe and Taylor note that the medial stop can be understood either as alternation _\*gulþa-_ / _\*gulda-_ or as the ordinary West Germanic change _\*lþ_ > ld; both routes lead to the same Old English consonantism [@RingeTaylor2014, 42].	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		gold; *gulda-	yes	p. 194	claim_not_isolated		claim_not_isolated	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck recovered Kroonen’s gold entry, but the current mixed-source sentence still bundles dictionary headword material with a broader Ringe-Taylor discussion.
CLMM01-0059	horn / horn	regular	Kroonen2013	general_background	[@Kroonen2013; @Orel2003, 234]	Form note. The note's oblique _\*xurnăn_ belongs to comparative stem background only. It does not replace the selected input _\*xúrną_ as the derivational form used here [@Kroonen2013; @Orel2003, 234].	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		hurna; horn; xurnan	yes	p. 259	locator_added	259	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2082-horn-horn.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen horn entry supports the comparative stem note.
CLMM01-0086	shilling / sċilling	regular	Kroonen2013	retained_broad_multi_page_discussion	[@Kroonen2013; @Orel2003, 377]	Kroonen treats the cognate set under _\*skellinga-_ ~ _\*skillinga-_ and connects it with _\*skeld-linga-_, while Orel likewise gives the coin word with OE _scilling_ among the reflexes [@Kroonen2013; @Orel2003, 377]. The selected input _\*skíllingaz_ is the nominative-style form used here to represent that inherited _\*-ing-_ derivative. Clark Hall records _scilling_, and Campbell cites _scilling_ among nouns whose derivational _-ing_ keeps _i_ in unstressed syllables [@ClarkHall1960, 269; @Campbell1959, §574.6]. From _\*skíllingaz_, loss of final _-az_ yields _\*skílling_.	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		scilling; *skellinga-; *skillinga-	yes	p. 356	retained_broad_multi_page_discussion		retained_broad_multi_page_discussion	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck confirmed the shilling material, but the current sentence summarizes Kroonen’s distributed discussion of competing formations rather than a single page-bound claim.
CLMM01-0088	shilling / sċilling	regular	Kroonen2013	retained_broad_general_background	[@Kroonen2013]	Form note. Kroonen's _\*skellinga-_ ~ _\*skillinga-_ and his internal analysis _\*skeld-linga-_ belong to the etymological background of the cognate set. The selected input _\*skíllingaz_ is the specific form used for the derivation represented here [@Kroonen2013].	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		scilling; *skellinga-; *skillinga-	yes	p. 356	claim_not_isolated		claim_not_isolated	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck recovered the relevant shilling entry, but the surviving note still mixes lexeme framing with derivational commentary better handled by a sentence split.
CLMM01-0090	smear / smierwan	regular	Kroonen2013	verified_page_candidate	[@Kroonen2013]	Kroonen gives the comparative headword as _\*smerwjan-_ [@Kroonen2013]. Ringe and Taylor instead cite a later-stage _\*smirwijana_, from which they derive West Saxon _smierwan_, Mercian _smirwan_, and Northumbrian _smiriga_ [@RingeTaylor2014, 198, 263]. The selected form is the West Saxon citation form _smierwan_. From _\*smérwijaną_, breaking before _r + consonant_ yields _eo_, and later i-umlaut produces _ie_.	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		smerwjan; smierwan	yes	p. 458	locator_added	458	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2198-smear-smierwan.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen entry directly supports the comparative headword.
CLMM01-0094	spar / spearra	regular	Orel2003	verified_page_candidate	[@Kroonen2013, 506; @Orel2003]	Kroonen and Orel place this noun in the beam or rafter set _\*spar(r)an-_, with cognates such as Old Saxon and Old High German _sparro_ [@Kroonen2013, 506; @Orel2003]. The selected input _\*spárrô_ is the OE-facing nominal form used here for that same lexeme. The noun represented here is _spearra_. From _\*spárrô_, Anglo-Frisian brightening gives _\*spærrô_, and OE breaking before geminate _rr_ yields _\*spearrô_, later _spearra_.	regular_book_prose	docs/references/orel_handbook_germanic_etymology.vision.txt		sparrōn; spearra	yes	p. 362	locator_added	362	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2204-spar-spearra.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Orel entry directly supports the spar noun.
