audit_id	record_type	entry	layer	file	line	citation_span	broad_keys	appears_in_generated	action_taken	notes
AUDIT01-SCAN-0001	scan_finding	birth / byrd	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	323	[@Hogg1992]	Hogg1992	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0002	scan_finding	fly / flēogan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	915	[@BosworthToller1898]	BosworthToller1898	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0003	scan_finding	forlorn / lēosan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	962	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0004	scan_finding	gang / gang	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	1008	[@Orel2003]	Orel2003	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0005	scan_finding	shilling / sċilling	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	2166	[@Kroonen2013; @Orel2003, 377]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0006	scan_finding	shilling / sċilling	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	2168	[@Kroonen2013]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0007	scan_finding	smear / smierwan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	2318	[@RingeTaylor2014; @ClarkHall1960, 283]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0008	scan_finding	still / stillan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	2457	[@KlugeSeebold2011]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0009	scan_finding	still / stillan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	2459	[@ClarkHall1960, 292; @KlugeSeebold2011]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0010	scan_finding	think / þenċan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	2698	[@BosworthToller1898]	BosworthToller1898	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0011	scan_finding	town / tūn	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	2877	[@SieversBrunner1965]	SieversBrunner1965	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0012	scan_finding	warp / weorpan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	2970	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0013	scan_finding	three / þrīe	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	3587	[@Kroonen2013]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0014	scan_finding	breast / brēost	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	3975	[@Campbell1959]	Campbell1959	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0015	scan_finding	dill / dile	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4129	[@Kroonen2013]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0016	scan_finding	dill / dile	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4137	[@Fulk2018]	Fulk2018	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0017	scan_finding	fast / festan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4227	[@Kroonen2013]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0018	scan_finding	fast / festan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4230	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0019	scan_finding	fast / festan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4245	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0020	scan_finding	gall / ġealla	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4546	[@Campbell1959]	Campbell1959	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
